property_name,avg_maintenance_cost
Cruz-Green,3312
"Flores Ltd",3311
"Perez, Fernandez and Wong",3307
"Cox PLC",3296
"Watkins Ltd",3294
"Bradley Inc",3275
"Waller PLC",3269
Huber-Johnson,3267
Scott-Jensen,3258
"Mays Ltd",3256
"Elliott Group",3253
"Palmer and Sons",3249
White-Robinson,3247
"Jackson, Mckay and Sanchez",3241
"Rodriguez, Gibson and Thomas",3240
"Warren and Sons",3239
Gibson-Morgan,3237
"Estrada PLC",3228
"Guerrero, Cain and Arnold",3201
"Bush LLC",3197
"Cunningham, Berry and Howard",3194
"Reed Ltd",3193
"Pierce, Payne and Scott",3192
"Anderson Inc",3190
Saunders-Cooper,3177
"Ball and Sons",3174
Craig-Foster,3166
"Guerrero, Roberts and Taylor",3159
"Walker, Marsh and Moore",3155
Solomon-Bailey,3140
"Soto, Higgins and Lopez",3129
Rodriguez-Morrow,3126
"Burns, Cox and Whitehead",3123
"Conway Inc",3123
"Reyes, Elliott and Brown",3120
"Harris LLC",3105
"Bright and Sons",3097
"Adkins LLC",3095
"Smith, Wise and Nelson",3094
"Gallegos and Sons",3081
"Gentry Inc",3076
"Gutierrez, Dunn and Mitchell",3068
"Lopez Group",3066
"Mann Group",3038
"Lee, Juarez and Mason",3023
Gardner-Young,3017
"Mathis and Sons",3015
Sims-Arnold,3013
Alvarez-Wilson,3013
Griffin-Miller,3006
Murray-Harris,3004
"Kelly Inc",2994
"Gallagher PLC",2993
"Nguyen, Lewis and Smith",2993
"Mcdaniel, Summers and Rivera",2988
"Vasquez, Blackwell and Pierce",2986
Kelley-Lamb,2985
"Jackson Group",2985
"Willis Ltd",2983
"Estes and Sons",2978
"Mason, Roberts and Smith",2959
Yoder-Rowe,2955
"Nguyen Ltd",2954
Lopez-Boyd,2936
"Martin, Williams and Lawson",2930
"Drake, Moore and Stevenson",2923
"Lee LLC",2919
Moon-Ball,2908
Weber-Gibson,2888
Miranda-Ruiz,2885
"Henderson, Townsend and Gordon",2884
Sanchez-Gibson,2877
"Garcia and Sons",2874
"Salazar, Kennedy and Pierce",2865
"Jones, Nelson and Jones",2861
"Hendricks Group",2858
Nelson-Gonzalez,2855
"Kim, Robinson and Browning",2846
Nicholson-Woodward,2842
"Williams Group",2839
"Garcia Ltd",2839
Nielsen-Peterson,2835
"Mueller Group",2835
"Campos Inc",2822
Saunders-Le,2821
Blevins-Nguyen,2819
"Sanchez Inc",2801
"Myers LLC",2800
"Johnson, Weaver and Torres",2800
"Roberts, Brown and Wheeler",2799
Reeves-Blair,2799
Ramirez-Rodriguez,2797
"Sharp, Payne and Solis",2796
"Anderson LLC",2795
"Myers, Mckay and Noble",2792
Rios-Sexton,2792
"Williams PLC",2791
"Williams, Newman and Williamson",2788
"Kelly and Sons",2774
Stevens-Smith,2767
"Best, Willis and Brandt",2766
"Nelson LLC",2766
"Underwood PLC",2752
"Lopez, Grimes and Roberts",2749
"Chavez, Briggs and Perkins",2736
"Cannon Group",2735
"Choi Inc",2734
"Yates Ltd",2724
"George, Callahan and Ochoa",2722
"Mccullough, Stewart and Mora",2720
"Chang, West and Fields",2711
Roman-Foster,2710
Griffin-Velez,2707
"Jones Inc",2707
"Bowen, Garza and Scott",2705
"Brandt, Cain and Simon",2703
"Bryant, Douglas and Murphy",2702
"White Group",2699
Peterson-Webb,2695
"Krause Inc",2682
"Peters Inc",2675
"Wheeler PLC",2675
"Watson Group",2658
Turner-Ortiz,2649
Williams-Stewart,2648
"Cisneros Group",2635
"Mckinney LLC",2633
"Ortega Inc",2630
"Rivas LLC",2628
"Gregory, Hensley and Ross",2626
Weeks-Morris,2626
"Mccann, West and Rodriguez",2625
"Bonilla, White and Hall",2624
Joseph-Mills,2621
"Ruiz, French and Hill",2620
"Jenkins, Jackson and Lopez",2620
"Wood, Proctor and Johnson",2619
Harvey-Cunningham,2610
"Cook, Mendoza and Leonard",2610
"Stewart, Howard and Bowers",2593
"Ellis LLC",2587
"Marshall LLC",2585
Edwards-Miller,2575
"Lewis Inc",2574
"Perez Group",2572
"Rangel and Sons",2568
"Rodriguez Inc",2565
Roberts-Brooks,2562
"Anderson, Harrison and Burton",2561
"Ramirez, Lopez and Trevino",2559
Ibarra-Booker,2556
"Werner Group",2538
"Villanueva, Miller and Lopez",2535
Wagner-Griffin,2531
"White LLC",2527
"Adkins and Sons",2522
Fernandez-Peterson,2521
Khan-Morales,2520
Ross-Foster,2516
"Jackson Inc",2515
"Perez, Jones and Patterson",2508
"Jimenez, Wolfe and Mcfarland",2508
"Anderson, Anthony and Lewis",2506
White-Flores,2506
Walters-Jones,2498
"Beltran PLC",2498
"Clarke, Herrera and Logan",2493
Adams-Whitehead,2490
Coleman-Hayes,2488
"Cannon Inc",2486
"Hogan Group",2477
Martinez-Reynolds,2476
"Ryan, Williams and Clay",2475
"Rosario, Holden and Ross",2473
Molina-Thompson,2471
"Fletcher Ltd",2467
"Williams and Sons",2465
Chandler-Campbell,2462
Cline-Hill,2461
"House PLC",2459
Brown-Smith,2457
"Smith Inc",2453
Mckenzie-Odonnell,2449
"Campos, Burgess and Webb",2449
Contreras-Delgado,2446
Larson-Morris,2444
"Horton, Lopez and Sparks",2442
"Branch and Sons",2420
Smith-Allison,2418
"Ruiz Group",2392
"Hodge, Mclaughlin and Jones",2386
"Perez Inc",2377
"Matthews, Rogers and Tran",2372
"Brennan and Sons",2363
"Mcpherson, Wilson and Miles",2356
"Freeman Group",2351
"Hurst Inc",2348
Patel-Waters,2347
Cox-Hardin,2327
"Carter Ltd",2326
"Doyle LLC",2321
Ford-Johnson,2314
Carroll-Mason,2306
"Martinez Inc",2305
Stewart-Rojas,2303
Ramirez-Edwards,2296
"Watson LLC",2291
"Anderson Group",2288
"Higgins Group",2278
"Hester PLC",2269
Phillips-Smith,2268
Moore-Irwin,2250
"Rodriguez Group",2249
"King, Cobb and Campbell",2244
"Robertson Ltd",2242
"Garcia Inc",2238
Edwards-Stewart,2237
"Lee, Johnson and Zimmerman",2230
"Schmitt Ltd",2227
"Hill, Gonzales and Hansen",2213
Young-Abbott,2207
Jones-Atkins,2206
Garrett-Edwards,2203
"Johnson, Graham and Wagner",2194
"Smith LLC",2192
"Herrera PLC",2192
Villegas-Simpson,2180
"Orozco Ltd",2174
Hernandez-Ballard,2172
"Adams, May and Oneill",2157
"Moore and Sons",2155
Miller-Rivera,2154
Weaver-Rodriguez,2154
Ellis-Barker,2152
"Rogers and Sons",2151
"York PLC",2143
Martin-Wood,2142
"Tapia, Harris and Mccann",2134
"Wilson, Davenport and Wyatt",2132
"Allen LLC",2131
"Thompson, Silva and Odom",2125
"Porter LLC",2123
"Petty, Smith and Smith",2123
Jones-Gray,2117
"Martinez Ltd",2115
"Bryan, Hall and Wise",2114
Bennett-Benson,2104
"Gilbert and Sons",2104
Lopez-Rodriguez,2089
Johnson-Beltran,2084
"Meyer Group",2075
"Fuller Group",2075
"Ramirez Inc",2065
"Moore PLC",2046
"Martinez, Small and Cunningham",2043
"Lewis Group",2018
"Ross, Jenkins and Yates",2017
Robertson-Brown,2013
"Ramos, Brown and Edwards",2006
"Lopez, Ingram and Hodge",2000
"Oliver Ltd",1998
"Atkinson, Fuller and Ingram",1993
"Wilson Ltd",1991
Campbell-Rodriguez,1985
"Howard Inc",1985
"Ruiz, Powell and Jenkins",1984
Spears-Price,1966
"Dixon LLC",1956
"Walton, Freeman and Cruz",1943
"Blevins PLC",1942
Potter-Davis,1926
"Thomas LLC",1919
"Lara Group",1908
"Ryan and Sons",1907
Johnson-Reeves,1891
"Perkins Group",1889
"Martin Ltd",1887
"Parks, Garcia and Walker",1883
Collins-Mccoy,1877
"Anderson, Patel and Stewart",1853
Cunningham-Floyd,1852
"Miller Ltd",1852
"Lewis, Douglas and Richard",1851
Adams-Knight,1836
"Neal PLC",1833
"Allen Ltd",1821
Chaney-Jones,1809
Alvarez-Miller,1778
Jones-Villa,1764
"Carpenter, Washington and Ramirez",1748
"Spencer and Sons",1746
"Ward Group",1724
"Hull, Perez and Rasmussen",1721
"Guerrero PLC",1716
"Bennett, Hess and Hernandez",1693
"Carpenter, Yang and Barton",1682
"Brewer, Henry and Ryan",1679
Davis-Wood,1677
"Gilmore, Frazier and Bright",1672
"Casey and Sons",1645
"Durham, Peterson and Rosario",1642
"Robinson Ltd",1636
"Lee Ltd",1632
"Stevens PLC",1630
Peters-Brown,1627
"Brooks, Mason and Colon",1603
Montgomery-Douglas,1598
"Johnson, Harrison and Mcgee",1583
"Jordan Ltd",1548
"Stewart and Sons",1544
"Barron, Thomas and Arias",1536
Owen-Kim,1520
Hall-Burns,1519
"Eaton Ltd",1518
Sanchez-Hunter,1492
"Hernandez, Jackson and Nguyen",1479
"Hall Inc",1479
Mckee-Jensen,1457
Mitchell-Novak,1444
Ward-Brown,1438
"Gibson, Martin and Russell",1416
"Ray, Washington and Cox",1379
"Campbell Inc",1369
"Evans LLC",1323
"Chan, Davenport and Mccoy",1285
Spears-Cooper,1268
"Roman, Patterson and Barton",1263
"Cunningham Inc",1261
"Hickman and Sons",1226
"Tate Inc",1224
Marquez-Cross,1223
Hernandez-Hebert,1206
Nixon-Osborne,1201
"Huang, Clark and Foster",1197
"Mccall, Williams and Mills",1172
"Santiago Group",1154
Byrd-Rodriguez,1151
"Burns, Castro and Mora",1149
"Ramsey, Anderson and Walsh",1119
Warren-Mccormick,1116
"Boyd, Thompson and Rodriguez",1115
"Perkins, Kramer and Gray",1111
"Stuart Group",1103
"Martin, Richardson and Johnson",1090
"Austin, Cross and Mclean",1081
"Martin Group",1081
"Andrews, Smith and Mason",1064
Sanchez-Alexander,1056
"Gonzalez Ltd",1041
"Alexander, Gordon and Cox",1040
Gregory-Pena,1017
Price-Le,1005
"Thomas, Atkinson and Lopez",976
Freeman-Martinez,972
Patton-Morrison,965
"Salinas, Campbell and Reed",957
Buck-Anderson,944
"Thompson Group",837
Walker-Boyle,815
Ryan-Adams,805
"Faulkner LLC",804
"Norton Group",804
Mack-Doyle,779
"Villarreal and Sons",774
Miller-Smith,737
"Townsend LLC",651
"Mcpherson Group",636
"Morris and Sons",540
"Rogers, Peters and Brewer",520
Lee-Martinez,478
Brown-Riley,469
Turner-Carter,366
Yoder-Davis,355
"King PLC",215
"Cook and Sons",150
"Cameron, Park and Willis",143
"Stewart Ltd",119
