property_name,avg_3latest_leases
"Horton and Sons",34336
"House PLC",32478
"Howard Inc",19940
"Huang, Clark and Foster",11418
Huber-Johnson,39299
"Hull, Perez and Rasmussen",16885
Hunt-Bender,21981
"Hurst Inc",12834
Ibarra-Booker,33485
"Jackson Group",32989
"Jackson Inc",16339
"Jackson, Davis and Gill",11445
"Jackson, Mckay and Sanchez",19515
"Jenkins, Jackson and Lopez",26180
"Jimenez, Wolfe and Mcfarland",32615
"Johnson and Sons",42374
Johnson-Beltran,18924
Johnson-Mckinney,17361
Johnson-Reeves,23607
"Johnson, Graham and Wagner",24954
"Johnson, Harrison and Mcgee",22049
"Johnson, Powell and Walker",30266
"Johnson, Weaver and Torres",9222
"Jones Inc",10923
Jones-Atkins,28828
Jones-Gray,29596
Jones-Villa,16518
"Jones, Barrera and Hines",24693
"Jones, Nelson and Jones",24728
"Jordan Ltd",15749
Joseph-Mills,26329
Kelley-Lamb,14171
"Kelly and Sons",35503
"Kelly Inc",35525
Khan-Morales,30175
"Khan, White and Wall",15296
"Kim, Robinson and Browning",24133
"King PLC",5441
"King, Cobb and Campbell",38849
"Knight, Henry and Chandler",24694
"Krause Inc",16027
"Landry LLC",13380
"Lara Group",24645
Larson-Morris,40192
"Lee LLC",32327
"Lee Ltd",21242
Lee-Martinez,28706
"Lee, Johnson and Zimmerman",39419
"Lee, Juarez and Mason",14429
"Lewis Group",20763
"Lewis Inc",19739
"Lewis LLC",29402
"Lewis, Douglas and Richard",23897
"Lloyd LLC",15321
"Lopez Group",15784
"Lopez Inc",17723
Lopez-Boyd,18887
Lopez-Rodriguez,21754
"Lopez, Grimes and Roberts",36286
"Lopez, Ingram and Hodge",20419
"Lynn PLC",35088
Mack-Doyle,15227
"Mann Group",27476
Marquez-Cross,19880
"Martin Group",30965
"Martin Ltd",22579
"Martin PLC",16425
Martin-Jones,34699
Martin-Wood,35626
"Martin, Richardson and Johnson",23931
"Martin, Williams and Lawson",25355
"Martinez Inc",27092
"Martinez Ltd",14252
Martinez-Phillips,30573
Martinez-Reynolds,22062
"Martinez, Cox and Malone",11371
"Martinez, Small and Cunningham",43820
"Mason, Roberts and Smith",40831
"Mathis and Sons",15044
"Matthews, Rogers and Tran",15452
"Mays Ltd",25097
"Mccall, Williams and Mills",34228
"Mccann, West and Rodriguez",18589
"Mccullough, Stewart and Mora",12223
"Mcdaniel, Summers and Rivera",7834
Mckee-Jensen,14319
Mckenzie-Odonnell,24502
"Mckinney LLC",39029
"Mckinney, White and Mason",30193
"Mcpherson Group",36406
"Mcpherson, Wilson and Miles",22356
"Meyer Group",15635
"Meza, Gibson and Adams",19049
"Miles, Hill and Bell",30164
"Miller Inc",19989
"Miller Ltd",19047
Miller-Rivera,21108
Miller-Smith,30388
Miranda-Ruiz,30165
Mitchell-Novak,27550
Molina-Thompson,40355
Montgomery-Douglas,19309
Moon-Ball,39968
"Moore and Sons",19826
"Moore PLC",21818
Moore-Irwin,30834
"Morris and Sons",13616
"Morris, Berger and Little",26256
"Morris, Gonzalez and Diaz",26122
"Mueller Group",24758
"Murray Group",23894
Murray-Harris,5396
"Myers LLC",15266
"Myers Ltd",16773
"Myers, Mckay and Noble",22280
"Neal PLC",33184
"Nelson LLC",29327
Nelson-Gonzalez,26583
Nelson-Phillips,35375
"Nguyen Ltd",21450
"Nguyen, Lewis and Smith",12257
Nicholson-Woodward,42657
Nielsen-Peterson,24620
Nixon-Osborne,22995
"Norman and Sons",20478
"Norton Group",29900
Obrien-Wood,39839
"Oliver Ltd",34768
"Orozco Ltd",37611
"Ortega Inc",39846
"Ortiz, Marshall and Phillips",29538
Owen-Kim,20733
"Palmer and Sons",8253
"Parks, Garcia and Walker",23093
"Parrish Inc",15806
Patel-Waters,24060
"Patterson PLC",17990
Patton-Morrison,21826
"Perez Group",28310
"Perez Inc",22422
"Perez, Fernandez and Wong",9372
"Perez, Jones and Patterson",15582
"Perkins Group",17922
"Perkins, Kramer and Gray",28663
"Peters Inc",15857
Peters-Brown,42769
Peterson-Webb,35616
"Petty, Smith and Smith",20600
Phillips-Smith,21147
"Pierce, Payne and Scott",21336
"Porter LLC",40304
Potter-Davis,16409
"Price PLC",26801
Price-Le,38685
"Ramirez Inc",27392
Ramirez-Edwards,37136
Ramirez-Rodriguez,19458
"Ramirez, Lopez and Trevino",12711
"Ramirez, Ramirez and Jackson",14763
"Ramos, Brown and Edwards",31807
"Ramsey, Anderson and Walsh",15196
"Rangel and Sons",30031
"Ray, Washington and Cox",34229
"Reed Ltd",25212
Reeves-Blair,16329
"Reid Group",29208
"Reyes, Elliott and Brown",17443
"Richards, Rosario and Garcia",23001
"Richmond Ltd",30602
"Riddle LLC",22678
Rios-Sexton,23986
"Rivas LLC",34913
Roberts-Brooks,38328
"Roberts, Brown and Wheeler",19253
"Robertson Ltd",30545
Robertson-Brown,19899
"Robinson Ltd",22133
"Rodriguez Group",15741
"Rodriguez Inc",23734
Rodriguez-Gonzales,33777
Rodriguez-Morrow,29153
"Rodriguez, Gibson and Thomas",12899
"Rogers and Sons",29092
"Rogers, Peters and Brewer",32218
Roman-Foster,37568
"Roman, Patterson and Barton",30753
"Rosario, Holden and Ross",31037
Ross-Foster,30425
"Ross, Jenkins and Yates",25146
"Ruiz Group",36773
"Ruiz, French and Hill",32132
"Ruiz, Powell and Jenkins",8465
"Ryan and Sons",33665
Ryan-Adams,26817
"Ryan, Williams and Clay",31496
"Salazar PLC",17799
"Salazar, Kennedy and Pierce",24260
"Salinas, Campbell and Reed",15267
"Sanchez Inc",39493
Sanchez-Alexander,19334
Sanchez-Gibson,32573
Sanchez-Hunter,33095
"Santiago Group",19811
Saunders-Cooper,28796
Saunders-Le,25860
"Schmitt Ltd",32685
Schneider-Wallace,18393
Scott-Jensen,16664
"Sharp, Payne and Solis",32694
Shepherd-Lee,37416
Sims-Arnold,22533
"Smith Group",26084
"Smith Inc",15845
"Smith LLC",37276
Smith-Allison,23305
"Smith, Wise and Nelson",23658
"Snyder, Johnson and Clark",29546
Solomon-Bailey,19250
"Soto, Higgins and Lopez",29387
Spears-Cooper,22549
Spears-Price,25603
"Spence Inc",33488
"Spencer and Sons",28728
"Spencer, Townsend and Woods",18809
"Spencer, Zamora and Horton",23655
"Stevens PLC",27639
Stevens-Smith,31390
"Stewart and Sons",24674
"Stewart Ltd",20713
Stewart-Rojas,29448
"Stewart, Howard and Bowers",42526
"Strong, Hale and Key",44893
"Stuart Group",32911
"Swanson, Benson and Campbell",27451
"Tapia, Harris and Mccann",28594
"Tate Inc",39505
"Taylor Inc",22917
"Thomas LLC",24702
"Thomas Ltd",14252
"Thomas, Atkinson and Lopez",36780
"Thompson Group",30165
"Thompson, Silva and Odom",6021
"Townsend LLC",23430
Turner-Carter,24703
Turner-Ortiz,7254
"Underwood PLC",13510
"Vasquez, Blackwell and Pierce",31326
"Vasquez, Willis and Little",21487
"Velasquez PLC",24343
"Villanueva, Miller and Lopez",17042
"Villarreal and Sons",30889
Wagner-Acevedo,10658
Wagner-Griffin,28648
"Walker Inc",27989
Walker-Boyle,46901
"Walker, Marsh and Moore",16910
"Waller PLC",26832
Walters-Jones,20187
"Walton, Freeman and Cruz",45766
"Ward Group",26158
Ward-Brown,35976
"Warren and Sons",15024
Warren-Mccormick,44098
Waters-Byrd,37339
"Watkins Ltd",14961
"Watson Group",37319
"Watson LLC",14414
Weaver-Rodriguez,22868
Weber-Gibson,35335
Weeks-Morris,36957
"Werner Group",23131
"Wheeler PLC",30160
"White Group",28834
"White LLC",37481
White-Flores,11957
White-Robinson,23350
"White, Holt and Padilla",32453
"Williams and Sons",22084
"Williams Group",35462
"Williams LLC",5224
"Williams PLC",17226
Williams-Stewart,24765
"Williams, Newman and Williamson",17819
"Williams, Wilson and Ellis",17978
"Willis Ltd",29182
"Wilson Group",27252
"Wilson Ltd",24468
"Wilson, Davenport and Wyatt",36971
"Wood, Proctor and Johnson",23676
"Yates Ltd",20173
Yoder-Davis,26794
Yoder-Rowe,16923
"York PLC",15019
Young-Abbott,42562
"Young, Garrison and Ward",29981
