property_name,avg_net_transaction
"Jones, Barrera and Hines",-2875217
"Jones, Nelson and Jones",1340854
"Jordan Ltd",-3424704
Joseph-Mills,-3466214
Kelley-Lamb,-5972186
"Kelly and Sons",-1930364
"Kelly Inc",1824949
Khan-Morales,-1586480
"King PLC",-885810
"Knight, Henry and Chandler",4394308
"Krause Inc",-952701
"Landry LLC",-4125570
"Lara Group",1607228
Larson-Morris,-7036718
"Lee LLC",-1797625
"Lee Ltd",-981882
Lee-Martinez,1346687
"Lee, Johnson and Zimmerman",-6406277
"Lee, Juarez and Mason",-7020394
"Lewis Group",1809343
"Lewis Inc",-7111807
"Lewis LLC",627527
"Lewis, Douglas and Richard",-2459535
"Lloyd LLC",1926699
"Lopez Group",-5218135
"Lopez Inc",-3954979
Lopez-Boyd,-3887881
Lopez-Rodriguez,-6489359
"Lopez, Ingram and Hodge",-117381
"Lynn PLC",2901283
Mack-Doyle,1261738
"Mann Group",-336403
Marquez-Cross,-8334211
"Martin Group",1983266
"Martin Ltd",4864023
"Martin PLC",1358409
Martin-Jones,-2749161
Martin-Wood,-2980256
"Martin, Richardson and Johnson",-5204479
"Martin, Williams and Lawson",3541007
"Martinez Inc",-390868
"Martinez Ltd",197626
Martinez-Phillips,4247760
Martinez-Reynolds,-6786749
"Martinez, Cox and Malone",-7197583
"Martinez, Small and Cunningham",52260
"Mason, Roberts and Smith",-4587792
"Mathis and Sons",6144048
"Matthews, Rogers and Tran",6122251
"Mays Ltd",378305
"Mccall, Williams and Mills",4880193
"Mccann, West and Rodriguez",4400713
"Mccullough, Stewart and Mora",5679476
"Mcdaniel, Summers and Rivera",2382342
Mckee-Jensen,-5641795
Mckenzie-Odonnell,8515097
"Mckinney LLC",931566
"Mcpherson Group",-771425
"Mcpherson, Wilson and Miles",380395
"Meyer Group",4942719
"Meza, Gibson and Adams",3960704
"Miles, Hill and Bell",-6917210
"Miller Inc",1540588
"Miller Ltd",-811978
Miller-Rivera,-8286600
Miller-Smith,-4851375
Miranda-Ruiz,-8023847
Mitchell-Novak,-5666177
Molina-Thompson,2202295
Moon-Ball,-3164098
"Moore and Sons",-3130088
"Moore PLC",2421895
Moore-Irwin,-7340931
"Morris, Berger and Little",-1056526
"Mueller Group",-6860836
"Murray Group",-1597846
"Myers LLC",-3608386
"Myers Ltd",2143841
"Myers, Mckay and Noble",-178277
"Neal PLC",-2577404
"Nelson LLC",-4886141
Nelson-Gonzalez,-822983
Nelson-Phillips,118379
"Nguyen Ltd",-3680136
"Nguyen, Lewis and Smith",-4935547
Nicholson-Woodward,5611989
Nielsen-Peterson,-5717331
Nixon-Osborne,1869941
"Norman and Sons",-5620185
"Norton Group",-6624866
"Oliver Ltd",4105194
"Orozco Ltd",-5582999
"Ortega Inc",-5019703
"Ortiz, Marshall and Phillips",-3072590
"Palmer and Sons",-6398084
"Parks, Garcia and Walker",-958350
"Parrish Inc",-6150203
Patel-Waters,300728
"Patterson PLC",57404
Patton-Morrison,-6183066
"Perez Group",3502690
"Perez Inc",-8967584
"Perkins Group",-8060511
"Perkins, Kramer and Gray",2956453
"Peters Inc",-7924679
Peters-Brown,2941042
Peterson-Webb,34630
"Petty, Smith and Smith",-7151211
Phillips-Smith,-1570210
"Porter LLC",605204
"Price PLC",2696975
Price-Le,-4407506
Ramirez-Edwards,899087
"Ramirez, Lopez and Trevino",-7930740
"Ramirez, Ramirez and Jackson",3981381
"Ramos, Brown and Edwards",-3673373
"Ramsey, Anderson and Walsh",-708123
"Rangel and Sons",-3866873
"Ray, Washington and Cox",-5585620
"Reed Ltd",-6380877
Reeves-Blair,-1887907
"Reid Group",1687384
"Reyes, Elliott and Brown",837846
"Richards, Rosario and Garcia",-1681008
"Richmond Ltd",-5271768
"Riddle LLC",7743845
Rios-Sexton,3816234
"Rivas LLC",1993358
Roberts-Brooks,8858905
"Roberts, Brown and Wheeler",-1893709
"Robertson Ltd",2341164
Robertson-Brown,-3154037
"Robinson Ltd",3267693
"Rodriguez Group",-5330830
"Rodriguez Inc",4228998
Rodriguez-Gonzales,-3795541
Rodriguez-Morrow,-6138711
"Rodriguez, Gibson and Thomas",-4720802
"Rogers and Sons",2129406
"Rogers, Peters and Brewer",-7845682
"Roman, Patterson and Barton",-1359896
Ross-Foster,7681829
"Ross, Jenkins and Yates",-707949
"Ruiz Group",-3946818
"Ruiz, French and Hill",8327468
"Ruiz, Powell and Jenkins",1701388
"Ryan and Sons",-9263620
Ryan-Adams,4962500
"Ryan, Williams and Clay",-852188
"Salazar PLC",-4147887
"Salazar, Kennedy and Pierce",439146
"Salinas, Campbell and Reed",-8823748
"Sanchez Inc",-561252
Sanchez-Alexander,-5448995
Sanchez-Gibson,5124841
Sanchez-Hunter,-7463514
"Santiago Group",224533
Saunders-Cooper,-4616946
Saunders-Le,-6879494
"Schmitt Ltd",1823174
Schneider-Wallace,-443685
Scott-Jensen,4417505
"Sharp, Payne and Solis",-4641991
Shepherd-Lee,-2300949
"Sherman, Odonnell and Kelly",9264450
Sims-Arnold,2842063
"Smith Group",-5287744
"Smith Inc",-3083548
"Smith LLC",2083785
Smith-Allison,3602955
"Smith, Wise and Nelson",-1939801
"Snyder, Johnson and Clark",2090952
Solomon-Bailey,-6107216
"Soto, Higgins and Lopez",436835
Spears-Cooper,-8331267
Spears-Price,-2820730
"Spence Inc",-4560245
"Spencer and Sons",4300252
"Spencer, Townsend and Woods",-5980574
"Spencer, Zamora and Horton",-4040916
"Stevens PLC",-3705256
"Stewart and Sons",-1977670
"Stewart Ltd",-2029202
Stewart-Rojas,-1876822
"Stewart, Howard and Bowers",-3368480
"Strong, Hale and Key",-2042360
"Swanson, Benson and Campbell",-1579235
"Tapia, Harris and Mccann",5944841
"Taylor Inc",-8621570
"Thomas LLC",522903
"Thomas Ltd",-4101660
"Thomas, Atkinson and Lopez",-5214440
"Thompson Group",-2714998
"Townsend LLC",3332419
Turner-Carter,-3937400
Turner-Ortiz,-2401187
"Underwood PLC",-161424
"Vasquez, Blackwell and Pierce",-8399366
"Vasquez, Willis and Little",-7475267
"Velasquez PLC",-3374783
"Villanueva, Miller and Lopez",-1291935
"Villarreal and Sons",1857592
Villegas-Simpson,277663
Wagner-Acevedo,319399
Wagner-Griffin,-4808476
"Walker Inc",-3507503
Walker-Boyle,3833352
"Walker, Marsh and Moore",-6959954
"Waller PLC",894253
Walters-Jones,-1324956
"Walton, Freeman and Cruz",2630607
"Ward Group",2665872
Ward-Brown,-5025563
Warren-Mccormick,-8385137
Waters-Byrd,-696851
"Watkins Ltd",2056505
"Watson LLC",-2203044
Weaver-Rodriguez,-1280712
Weber-Gibson,2070833
Weeks-Morris,2955442
"Werner Group",-2331803
"Wheeler PLC",5161231
"White Group",1246017
"White LLC",415826
White-Flores,-4036141
White-Robinson,-895302
"Williams and Sons",-5686186
"Williams Group",-2746350
"Williams LLC",-3801702
"Williams PLC",-5546206
"Williams, Newman and Williamson",-7143126
"Williams, Wilson and Ellis",4276227
"Willis Ltd",5086937
"Wilson Group",-448657
"Wilson Ltd",6895783
"Wilson, Davenport and Wyatt",1835807
"Wood, Proctor and Johnson",688833
Yoder-Davis,-718363
Yoder-Rowe,865637
"York PLC",-1440446
Young-Abbott,-2156828
"Young, Garrison and Ward",-2352316
