property_name,lease_start,rent_amount,cumulative_rent
"Bryant, Douglas and Murphy",2022-05-17,4052,48223
"Bryant, Douglas and Murphy",2024-03-05,38893,87116
Buck-Anderson,2020-06-02,17071,17071
Buck-Anderson,2021-02-26,31171,48242
Buck-Anderson,2021-08-22,22090,70332
Buck-Anderson,2024-07-16,35640,105972
"Burns, Castro and Mora",2022-06-10,32661,32661
"Burns, Castro and Mora",2023-01-27,17541,50202
"Burns, Castro and Mora",2023-10-31,32602,82804
"Burns, Cox and Whitehead",2022-09-19,37486,37486
"Burns, Cox and Whitehead",2022-10-19,4952,42438
"Burns, Cox and Whitehead",2023-02-11,11751,54189
"Burton, Chase and Garcia",2019-11-21,1673,1673
"Burton, Chase and Garcia",2020-05-22,45148,46821
"Burton, Chase and Garcia",2020-06-30,16910,63731
"Burton, Chase and Garcia",2020-07-16,33295,97026
"Burton, Chase and Garcia",2022-07-07,37421,134447
"Burton, Chase and Garcia",2023-11-20,8982,143429
"Burton, Chase and Garcia",2024-01-06,4384,147813
"Bush LLC",2020-12-06,13325,13325
Byrd-Rodriguez,2020-06-02,47705,47705
Byrd-Rodriguez,2021-08-20,21311,69016
Byrd-Rodriguez,2021-09-13,29579,98595
Byrd-Rodriguez,2023-11-12,32218,130813
Byrd-Rodriguez,2024-09-20,28900,159713
Cain-Alexander,2022-09-21,15244,15244
Cain-Alexander,2023-04-03,4050,19294
"Cameron, Park and Willis",2020-09-09,15874,15874
"Cameron, Park and Willis",2022-04-13,47361,63235
"Cameron, Park and Willis",2023-09-02,21709,84944
"Campbell Inc",2023-05-26,8455,8455
"Campbell Inc",2023-06-05,17034,25489
Campbell-Rodriguez,2020-08-18,36542,36542
Campbell-Rodriguez,2021-03-08,17279,53821
Campbell-Rodriguez,2021-07-14,22614,76435
Campbell-Rodriguez,2021-10-11,20902,97337
Campbell-Rodriguez,2022-08-16,11193,108530
Campbell-Rodriguez,2024-02-10,34116,142646
"Campos Inc",2020-01-02,45966,45966
"Campos Inc",2020-02-21,25723,71689
"Campos Inc",2021-10-15,9504,81193
"Campos Inc",2022-03-26,1911,83104
"Campos, Burgess and Webb",2020-12-15,25675,25675
"Campos, Burgess and Webb",2022-07-25,38811,64486
"Cannon Group",2019-11-29,42133,42133
"Cannon Group",2020-02-23,38474,80607
"Cannon Group",2022-01-27,32595,113202
"Cannon Group",2022-12-07,49943,163145
"Cannon Group",2023-04-05,22802,185947
"Cannon Group",2024-07-31,2646,188593
"Cannon Inc",2022-12-09,2250,2250
"Cannon Inc",2023-05-20,22869,25119
"Cannon Inc",2024-09-19,22253,47372
"Carpenter, Washington and Ramirez",2019-12-28,17552,17552
"Carpenter, Washington and Ramirez",2021-06-07,46251,63803
"Carpenter, Washington and Ramirez",2022-04-11,7703,71506
"Carpenter, Washington and Ramirez",2022-11-19,22596,94102
"Carpenter, Washington and Ramirez",2023-11-11,6361,100463
"Carpenter, Yang and Barton",2020-07-14,31334,31334
"Carpenter, Yang and Barton",2020-12-18,48417,79751
"Carpenter, Yang and Barton",2022-08-13,7658,87409
Carroll-Mason,2024-04-30,39397,39397
"Carter Ltd",2019-12-10,13467,13467
"Carter Ltd",2020-09-06,9027,22494
"Carter Ltd",2021-10-01,31007,53501
"Carter Ltd",2021-10-14,40263,93764
"Carter Ltd",2022-02-26,10829,104593
"Carter Ltd",2024-08-14,2717,107310
Carter-Marquez,2022-02-06,43436,43436
Carter-Marquez,2022-04-19,29718,73154
Carter-Marquez,2022-05-15,25102,98256
Carter-Marquez,2023-02-01,11739,109995
"Casey and Sons",2020-09-03,30695,30695
"Casey and Sons",2021-07-30,44781,75476
"Casey and Sons",2024-03-17,34473,109949
"Chan, Davenport and Mccoy",2021-07-10,34325,34325
"Chan, Davenport and Mccoy",2021-12-07,22144,56469
"Chan, Davenport and Mccoy",2022-03-31,35859,92328
Chandler-Campbell,2024-04-28,1157,1157
Chandler-Campbell,2024-09-09,1127,2284
Chaney-Jones,2022-05-12,12117,12117
Chaney-Jones,2024-07-31,39239,51356
"Chang, West and Fields",2020-07-05,40442,40442
"Chang, West and Fields",2021-06-21,45899,86341
"Chang, West and Fields",2022-08-26,47295,133636
"Chang, West and Fields",2023-10-20,1306,134942
"Chavez, Briggs and Perkins",2022-07-30,24413,24413
"Chavez, Briggs and Perkins",2023-01-26,35852,60265
"Choi Inc",2020-03-30,4854,4854
"Choi Inc",2020-07-12,1703,6557
"Choi Inc",2022-08-01,20188,26745
"Choi Inc",2022-12-10,21426,48171
"Choi Inc",2023-02-06,47800,95971
"Christian, Herring and Garza",2021-05-27,11239,11239
"Christian, Murray and Little",2021-01-18,49775,49775
"Christian, Murray and Little",2022-08-09,3146,52921
"Christian, Murray and Little",2022-08-29,7659,60580
"Cisneros Group",2019-11-30,22777,22777
"Cisneros Group",2021-03-26,14725,37502
"Cisneros Group",2024-02-15,43554,81056
"Cisneros Group",2024-06-09,1414,82470
"Clark LLC",2021-06-15,12179,12179
"Clark LLC",2021-12-10,36852,49031
"Clark LLC",2023-02-27,17747,66778
"Clark LLC",2023-10-05,39932,106710
"Clark LLC",2024-03-13,20646,127356
"Clark LLC",2024-03-14,1987,129343
"Clark LLC",2024-03-28,7667,137010
Clark-Riggs,2020-02-10,20877,20877
Clark-Riggs,2020-07-10,3694,24571
"Clarke, Herrera and Logan",2020-07-24,42596,42596
"Clarke, Herrera and Logan",2021-06-14,24015,66611
"Clarke, Herrera and Logan",2022-01-18,27165,93776
"Clayton Inc",2021-05-20,8211,8211
"Clayton Inc",2021-10-11,43275,51486
"Clayton Inc",2022-07-28,48552,100038
"Clayton Inc",2023-04-13,49422,149460
"Clayton Inc",2023-06-30,40750,190210
"Clayton Inc",2023-08-26,12130,202340
"Clayton Inc",2024-04-22,11138,213478
Cline-Hill,2020-04-15,7897,7897
Cline-Hill,2020-12-16,33110,41007
Cline-Hill,2020-12-23,8674,49681
Cline-Hill,2023-04-22,14313,63994
Cline-Hill,2024-02-10,26045,90039
Cline-Hill,2024-07-11,21814,111853
Coleman-Hayes,2021-01-21,19832,19832
Coleman-Hayes,2021-02-23,36203,56035
Coleman-Hayes,2022-10-08,32696,88731
Coleman-Hayes,2023-08-16,46409,135140
Collins-Mccoy,2020-05-13,43826,43826
Collins-Mccoy,2023-10-17,13109,56935
Contreras-Delgado,2019-11-22,27361,27361
Contreras-Delgado,2021-05-07,1837,29198
Contreras-Delgado,2022-10-13,25929,55127
Contreras-Delgado,2024-09-09,7365,62492
"Conway Inc",2020-06-14,11270,11270
"Conway Inc",2021-07-16,12711,23981
"Conway Inc",2022-02-13,9802,33783
"Conway Inc",2023-01-22,21851,55634
"Conway Inc",2023-02-23,6487,62121
"Cook and Sons",2020-07-06,10032,10032
"Cook and Sons",2022-07-24,22836,32868
"Cook and Sons",2024-09-19,6303,39171
"Cook, Mendoza and Leonard",2021-05-26,18376,18376
"Cook, Mendoza and Leonard",2022-12-08,40595,58971
"Cooper Group",2020-09-09,3286,3286
"Cooper Group",2021-03-03,1611,4897
"Cooper Group",2022-03-19,46488,51385
"Cooper Group",2022-12-25,13110,64495
"Cooper Group",2023-08-15,32034,96529
"Cooper Group",2024-08-31,25231,121760
Cooper-Michael,2020-05-29,18827,18827
Cooper-Michael,2021-12-05,6320,25147
Cooper-Michael,2022-09-21,23503,48650
Cooper-Michael,2022-12-09,36841,85491
Cooper-Michael,2023-04-28,34535,120026
Cooper-Michael,2024-05-15,12791,132817
"Costa LLC",2020-04-22,22599,22599
"Costa LLC",2021-10-27,42439,65038
"Costa LLC",2022-04-26,44985,110023
"Costa LLC",2023-05-04,13791,123814
"Cox PLC",2020-07-02,11998,11998
"Cox PLC",2022-03-22,22947,34945
"Cox PLC",2024-01-06,41593,76538
"Cox PLC",2024-09-02,38571,115109
Cox-Hardin,2021-04-21,22968,22968
Cox-Hardin,2023-11-18,13060,36028
Craig-Foster,2020-02-17,42007,42007
Craig-Foster,2021-05-08,41643,83650
Craig-Foster,2021-07-15,2679,86329
Craig-Foster,2021-12-10,16856,103185
Craig-Foster,2022-02-06,41758,144943
Craig-Foster,2023-04-15,37779,182722
Cruz-Green,2019-11-10,18937,18937
Cruz-Green,2024-02-05,43407,62344
"Cunningham Inc",2020-01-06,18536,18536
"Cunningham Inc",2020-03-29,1374,19910
"Cunningham Inc",2023-06-07,18815,38725
"Cunningham Inc",2023-07-08,14515,53240
"Cunningham Inc",2023-08-25,22022,75262
"Cunningham Inc",2024-08-12,39863,115125
"Cunningham Inc",2024-10-17,4775,119900
"Cunningham Inc",2024-10-18,7392,127292
Cunningham-Floyd,2020-05-04,41046,41046
Cunningham-Floyd,2021-09-01,35332,76378
Cunningham-Floyd,2022-05-15,19592,95970
Cunningham-Floyd,2023-07-19,36695,132665
Cunningham-Floyd,2024-04-19,33476,166141
"Cunningham, Berry and Howard",2020-05-01,28387,28387
"Cunningham, Berry and Howard",2021-01-30,44677,73064
"Cunningham, Berry and Howard",2021-07-13,22376,95440
"Cunningham, Berry and Howard",2022-08-24,29587,125027
"Cunningham, Berry and Howard",2024-02-05,25787,150814
"Cunningham, Berry and Howard",2024-05-10,16453,167267
"Cunningham, Berry and Howard",2024-06-21,46510,213777
"Davies, Mccoy and Cox",2021-03-05,42784,42784
"Davies, Mccoy and Cox",2021-04-20,16517,59301
"Davies, Mccoy and Cox",2021-08-25,30217,89518
"Davies, Mccoy and Cox",2023-01-07,41612,131130
"Davies, Mccoy and Cox",2023-11-09,32630,163760
"Davis Ltd",2020-04-08,25109,25109
"Davis Ltd",2020-12-14,16496,41605
"Davis Ltd",2024-09-27,40890,82495
Davis-Quinn,2019-11-14,49974,49974
Davis-Quinn,2020-04-22,5670,55644
Davis-Quinn,2020-05-26,7544,63188
Davis-Quinn,2020-08-23,10386,73574
Davis-Quinn,2020-10-07,6785,80359
Davis-Quinn,2021-12-07,35949,116308
Davis-Quinn,2023-07-09,38663,154971
Davis-Quinn,2024-08-05,12548,167519
Davis-Wood,2020-03-27,46699,46699
Davis-Wood,2021-07-07,11602,58301
Davis-Wood,2022-03-25,35059,93360
Davis-Wood,2022-09-11,32779,126139
Davis-Wood,2023-05-07,15704,141843
"Douglas LLC",2024-02-26,28899,28899
"Douglas LLC",2024-08-08,35205,64104
"Doyle LLC",2020-02-06,21477,21477
"Doyle LLC",2021-01-05,37391,58868
"Doyle LLC",2023-02-03,41760,100628
"Doyle LLC",2023-10-09,17008,117636
"Doyle LLC",2023-12-19,28312,145948
"Doyle PLC",2023-03-19,27158,27158
"Doyle PLC",2023-08-10,19725,46883
"Drake, Moore and Stevenson",2020-03-23,23115,23115
"Durham, Peterson and Rosario",2024-02-07,46236,46236
"Durham, Peterson and Rosario",2024-03-22,47792,94028
"Eaton Ltd",2021-06-09,6307,6307
"Eaton Ltd",2022-04-14,40319,46626
"Eaton Ltd",2024-01-28,20251,66877
"Eaton Ltd",2024-02-15,45775,112652
Edwards-Miller,2020-03-31,24836,24836
Edwards-Miller,2023-07-06,14234,39070
Edwards-Stewart,2019-12-19,2516,2516
Edwards-Stewart,2020-02-18,10367,12883
Edwards-Stewart,2022-08-29,22147,35030
Edwards-Stewart,2023-01-01,15166,50196
Edwards-Stewart,2024-07-30,12634,62830
"Elliott Group",2019-11-19,23279,23279
"Elliott Group",2020-08-26,17276,40555
"Elliott Group",2021-08-14,44178,84733
"Elliott Group",2024-03-02,4165,88898
"Ellis LLC",2021-06-24,37641,37641
"Ellis LLC",2021-08-21,35127,72768
"Ellis LLC",2021-10-09,49506,122274
"Ellis LLC",2021-12-05,39027,161301
"Ellis LLC",2024-04-22,24993,186294
"Ellis LLC",2024-08-26,48845,235139
Ellis-Barker,2020-10-26,48985,48985
Ellis-Barker,2022-09-03,18032,67017
Ellis-Barker,2022-12-24,18467,85484
Ellis-Barker,2023-08-18,20859,106343
"Estes and Sons",2020-01-15,4974,4974
"Estes and Sons",2020-10-31,37913,42887
"Estes and Sons",2021-04-28,49042,91929
"Estes and Sons",2023-02-19,14231,106160
"Estes and Sons",2024-04-01,39215,145375
"Estrada PLC",2022-08-28,46273,46273
"Evans LLC",2020-10-23,16450,16450
"Evans LLC",2021-01-23,18324,34774
Evans-Marshall,2020-03-16,9791,9791
Evans-Marshall,2021-06-06,15972,25763
Evans-Marshall,2022-02-28,34461,60224
Evans-Marshall,2022-09-29,4400,64624
Evans-Marshall,2023-09-25,44744,109368
"Evans, Hardin and Rodriguez",2020-07-14,23121,23121
"Evans, Hardin and Rodriguez",2020-11-27,42291,65412
"Evans, Hardin and Rodriguez",2021-05-15,11094,76506
"Evans, Hardin and Rodriguez",2021-08-19,47338,123844
"Farrell, Schultz and Manning",2021-06-26,15634,15634
"Farrell, Schultz and Manning",2024-02-26,11275,26909
"Faulkner LLC",2020-03-14,7136,7136
"Faulkner LLC",2022-02-15,17315,24451
"Faulkner LLC",2024-06-25,43069,67520
Fernandez-Peterson,2020-01-18,10706,10706
Fernandez-Peterson,2022-08-15,33693,44399
Fernandez-Peterson,2023-03-06,13978,58377
"Fletcher Ltd",2021-01-16,45681,45681
"Fletcher Ltd",2021-12-17,24824,70505
"Fletcher Ltd",2022-01-22,27597,98102
"Fletcher Ltd",2023-04-17,9649,107751
"Fletcher Ltd",2024-07-17,6517,114268
"Flores Ltd",2020-05-09,3195,3195
Ford-Johnson,2020-01-27,31494,31494
Ford-Johnson,2020-02-26,10361,41855
Ford-Johnson,2022-01-17,25860,67715
Ford-Johnson,2023-03-11,32426,100141
"Francis, Willis and Davis",2020-06-14,35706,35706
"Francis, Willis and Davis",2020-06-29,37512,73218
"Francis, Willis and Davis",2021-02-27,24763,97981
Frederick-Wall,2024-02-20,48096,48096
"Freeman Group",2020-01-28,31477,31477
"Freeman Group",2020-03-23,34930,66407
"Freeman Group",2020-05-28,15633,82040
"Freeman Group",2024-02-09,9887,91927
"Freeman Group",2024-03-03,12905,104832
Freeman-Martinez,2020-05-18,14745,14745
Freeman-Martinez,2020-05-20,44018,58763
Freeman-Martinez,2020-09-25,33374,92137
Freeman-Martinez,2020-10-20,28160,120297
Freeman-Martinez,2023-09-24,14115,134412
"Frey and Sons",2019-11-26,24257,24257
"Frey and Sons",2020-12-01,32207,56464
"Frey and Sons",2022-05-20,9401,65865
"Frey and Sons",2023-04-14,19389,85254
"Frey and Sons",2024-09-10,40679,125933
"Fuller Group",2020-04-10,41787,41787
"Fuller Group",2020-05-12,30383,72170
"Fuller Group",2021-03-09,32018,104188
"Fuller Group",2021-05-11,47674,151862
"Fuller Group",2024-04-28,25821,177683
"Fuller Group",2024-05-10,20907,198590
"Fuller Group",2024-05-20,36789,235379
"Gallagher PLC",2020-04-05,8721,8721
"Gallagher PLC",2020-09-13,31779,40500
"Gallagher PLC",2021-06-01,5754,46254
"Gallagher PLC",2023-04-16,38810,85064
"Gallagher PLC",2023-07-07,2446,87510
"Gallegos and Sons",2023-01-19,30537,30537
"Gallegos and Sons",2023-05-26,45319,75856
"Gallegos and Sons",2023-09-09,22947,98803
"Gallegos and Sons",2024-07-10,11203,110006
"Garcia and Sons",2023-05-26,37150,37150
"Garcia and Sons",2024-08-29,9796,46946
"Garcia Inc",2020-02-21,46011,46011
"Garcia Inc",2020-04-13,3929,49940
"Garcia Inc",2022-03-17,6974,56914
"Garcia Ltd",2020-09-03,33460,33460
"Garcia Ltd",2021-07-05,32598,66058
"Garcia Ltd",2022-11-08,47793,113851
"Garcia Ltd",2023-11-27,20825,134676
Gardner-Young,2021-02-12,49599,49599
Gardner-Young,2022-05-26,35882,85481
Garrett-Edwards,2019-12-18,41247,41247
Garrett-Edwards,2020-01-21,39438,80685
Garrett-Edwards,2022-07-26,44246,124931
Garrett-Edwards,2023-10-22,13175,138106
Garrett-Edwards,2023-12-28,24720,162826
Garrett-Page,2021-07-11,48027,48027
Garrett-Page,2022-09-24,28456,76483
Garrett-Page,2023-11-09,27805,104288
"Gentry Inc",2019-11-07,11523,11523
"Gentry Inc",2021-01-29,25766,37289
"Gentry Inc",2021-07-06,43432,80721
"Gentry Inc",2021-07-25,23976,104697
"Gentry Inc",2023-08-02,15441,120138
"George, Callahan and Ochoa",2019-12-18,24438,24438
"George, Callahan and Ochoa",2020-11-23,27109,51547
"George, Callahan and Ochoa",2022-01-17,17227,68774
"George, Callahan and Ochoa",2022-06-12,27879,96653
"George, Callahan and Ochoa",2023-08-01,27563,124216
"George, Callahan and Ochoa",2024-08-20,31260,155476
"George, Reed and Frazier",2020-08-14,36188,36188
"George, Reed and Frazier",2020-12-28,47520,83708
"George, Reed and Frazier",2021-02-20,11710,95418
"George, Reed and Frazier",2022-03-26,43395,138813
"George, Reed and Frazier",2023-04-24,40547,179360
"George, Reed and Frazier",2023-06-16,4800,184160
"Gibson, Martin and Russell",2020-04-02,41265,41265
"Gibson, Martin and Russell",2020-04-21,19331,60596
"Gibson, Martin and Russell",2022-04-09,25728,86324
"Gilbert and Sons",2022-05-12,35464,35464
"Gilbert and Sons",2023-05-09,36578,72042
"Gilbert and Sons",2024-07-11,11691,83733
"Gilmore, Frazier and Bright",2020-12-05,19683,19683
"Gilmore, Frazier and Bright",2022-05-31,35534,55217
"Gilmore, Frazier and Bright",2022-09-29,39085,94302
"Gilmore, Frazier and Bright",2022-12-28,6473,100775
"Gomez LLC",2020-05-29,15350,15350
"Gomez LLC",2020-10-15,4035,19385
"Gomez LLC",2020-12-02,9917,29302
"Gomez LLC",2022-03-03,20467,49769
"Gomez LLC",2022-12-07,11620,61389
"Gomez LLC",2024-03-16,47069,108458
"Gonzalez Ltd",2020-06-17,7175,7175
"Gonzalez Ltd",2020-10-25,46520,53695
"Gonzalez Ltd",2021-06-01,39849,93544
"Gonzalez Ltd",2022-06-12,15519,109063
"Gonzalez Ltd",2023-05-12,41813,150876
"Gonzalez Ltd",2024-02-10,11025,161901
Goodwin-Bishop,2019-11-27,42270,42270
Goodwin-Bishop,2020-01-04,16027,58297
Goodwin-Bishop,2020-04-21,39407,97704
Gregory-Pena,2021-02-08,6762,6762
Gregory-Pena,2022-07-05,8869,15631
Gregory-Pena,2022-10-15,31423,47054
Gregory-Pena,2023-04-10,48108,95162
Gregory-Pena,2024-06-17,39245,134407
Gregory-Pena,2024-10-08,12775,147182
"Gregory, Hensley and Ross",2021-04-06,25992,25992
"Gregory, Hensley and Ross",2022-10-10,34639,60631
"Gregory, Hensley and Ross",2024-07-22,49398,110029
Griffin-Miller,2019-12-22,34160,34160
Griffin-Miller,2023-10-09,44755,78915
Griffin-Velez,2021-04-17,40440,40440
Griffin-Velez,2022-10-30,26055,66495
"Guerrero PLC",2023-04-26,13324,13324
"Guerrero PLC",2023-07-27,11662,24986
