property_name,property_type,property_rent_revenue,rent_rev_as_percent_of_total,rent_rev_as_percent_of_propType_total
"Campos Inc",Office,83104,0.16,0.66
"Taylor Inc",Office,68752,0.13,0.55
"Santiago Group",Office,87515,0.17,0.70
"Salinas, Campbell and Reed",Office,30533,0.06,0.24
"Robinson Ltd",Office,105844,0.21,0.84
"Lopez Inc",Office,181712,0.35,1.45
"Martin, Richardson and Johnson",Office,120214,0.23,0.96
Patel-Waters,Office,72180,0.14,0.57
"Villarreal and Sons",Office,131031,0.25,1.04
"Brennan and Sons",Office,201691,0.39,1.61
"Rivas LLC",Office,179637,0.35,1.43
"Vasquez, Blackwell and Pierce",Office,133041,0.26,1.06
Johnson-Mckinney,Office,137820,0.27,1.10
Nixon-Osborne,Office,68984,0.13,0.55
Johnson-Reeves,Office,223019,0.43,1.78
Chaney-Jones,Office,51356,0.10,0.41
"Ortega Inc",Office,51128,0.10,0.41
"King, Cobb and Campbell",Office,203674,0.40,1.62
Gardner-Young,Office,85481,0.17,0.68
"Hall, Gomez and Diaz",Office,85428,0.17,0.68
"Spencer, Townsend and Woods",Office,107830,0.21,0.86
Mckenzie-Odonnell,Office,73505,0.14,0.59
"Morris, Berger and Little",Office,78769,0.15,0.63
Ellis-Barker,Office,106343,0.21,0.85
"Ryan and Sons",Office,152290,0.30,1.21
"Stuart Group",Office,212186,0.41,1.69
Hall-Burns,Office,189867,0.37,1.51
"Garcia Ltd",Office,134676,0.26,1.07
"Herrera Group",Office,160610,0.31,1.28
"Johnson, Powell and Walker",Office,90799,0.18,0.72
Spears-Price,Office,122281,0.24,0.97
"Watson LLC",Office,84662,0.16,0.67
"Bright and Sons",Office,159268,0.31,1.27
"Kelly Inc",Office,241813,0.47,1.93
"Rangel and Sons",Office,131528,0.26,1.05
"Jackson Group",Office,105591,0.21,0.84
"Martin Group",Office,277753,0.54,2.21
"Moore and Sons",Office,39652,0.08,0.32
"Freeman Group",Office,104832,0.20,0.83
"Williams and Sons",Office,44167,0.09,0.35
Peterson-Webb,Office,106848,0.21,0.85
"Christian, Herring and Garza",Office,11239,0.02,0.09
"Allen LLC",Office,25730,0.05,0.20
"Mann Group",Office,158812,0.31,1.26
"Rodriguez Group",Office,95565,0.19,0.76
"Gonzalez Ltd",Office,161901,0.31,1.29
"Cisneros Group",Office,82470,0.16,0.66
"Vasquez, Willis and Little",Office,138170,0.27,1.10
"Johnson, Harrison and Mcgee",Office,44098,0.09,0.35
Wagner-Acevedo,Office,132876,0.26,1.06
"Doyle LLC",Office,145948,0.28,1.16
"Lewis LLC",Office,160029,0.31,1.27
"Walker, Marsh and Moore",Office,68536,0.13,0.55
"Ellis LLC",Office,235139,0.46,1.87
"Williams, Wilson and Ellis",Office,53934,0.10,0.43
Potter-Davis,Office,166430,0.32,1.33
"White Group",Office,57667,0.11,0.46
"Boyd, Thompson and Rodriguez",Office,53905,0.10,0.43
"Campbell Inc",Office,25489,0.05,0.20
"Thompson, Silva and Odom",Office,18062,0.04,0.14
"Guerrero, Roberts and Taylor",Office,117248,0.23,0.93
Adams-Whitehead,Office,195459,0.38,1.56
Davis-Quinn,Office,167519,0.33,1.33
"Brandt, Cain and Simon",Office,137741,0.27,1.10
"Mason, Roberts and Smith",Office,122492,0.24,0.98
"Ramirez Inc",Office,82175,0.16,0.65
"Spencer, Zamora and Horton",Office,197690,0.38,1.57
Bennett-Benson,Office,161683,0.31,1.29
"Wilson, Davenport and Wyatt",Office,36971,0.07,0.29
Rodriguez-Gonzales,Residential,191951,0.37,1.36
"Mccall, Williams and Mills",Residential,104477,0.20,0.74
"Cannon Inc",Residential,47372,0.09,0.34
"Cox PLC",Residential,115109,0.22,0.81
"Ruiz, French and Hill",Residential,228539,0.44,1.62
"George, Callahan and Ochoa",Residential,155476,0.30,1.10
"Patterson PLC",Residential,196841,0.38,1.39
Ramirez-Edwards,Residential,181817,0.35,1.29
Miller-Smith,Residential,184098,0.36,1.30
"Lynn PLC",Residential,245694,0.48,1.74
"Garcia Inc",Residential,56914,0.11,0.40
"Thomas LLC",Residential,174317,0.34,1.23
"Clark LLC",Residential,137010,0.27,0.97
"Rosario, Holden and Ross",Residential,93112,0.18,0.66
Contreras-Delgado,Residential,62492,0.12,0.44
"Ray, Washington and Cox",Residential,119057,0.23,0.84
"Willis Ltd",Residential,396098,0.77,2.80
Hunt-Bender,Residential,65944,0.13,0.47
"Perkins Group",Residential,35844,0.07,0.25
"Evans, Hardin and Rodriguez",Residential,123844,0.24,0.88
"Soto, Higgins and Lopez",Residential,153849,0.30,1.09
Carter-Marquez,Residential,109995,0.21,0.78
Martin-Wood,Residential,215002,0.42,1.52
"Robertson Ltd",Residential,154487,0.30,1.09
"Myers, Mckay and Noble",Residential,171801,0.33,1.22
Joseph-Mills,Residential,52658,0.10,0.37
"Horn, Reed and Miller",Residential,89605,0.17,0.63
"Smith, Wise and Nelson",Residential,152915,0.30,1.08
Sanchez-Gibson,Residential,165907,0.32,1.17
Owen-Kim,Residential,62200,0.12,0.44
"Elliott Group",Residential,88898,0.17,0.63
"Martinez, Small and Cunningham",Residential,199280,0.39,1.41
"Jackson, Davis and Gill",Residential,134427,0.26,0.95
"Jones Inc",Residential,121299,0.24,0.86
"Costa LLC",Residential,123814,0.24,0.88
"Myers Ltd",Residential,134496,0.26,0.95
"Ramirez, Ramirez and Jackson",Residential,120181,0.23,0.85
"Evans LLC",Residential,34774,0.07,0.25
"Roman, Patterson and Barton",Residential,144581,0.28,1.02
Cunningham-Floyd,Residential,166141,0.32,1.18
"Cook and Sons",Residential,39171,0.08,0.28
Schneider-Wallace,Residential,55178,0.11,0.39
"Khan, White and Wall",Residential,85833,0.17,0.61
"George, Reed and Frazier",Residential,184160,0.36,1.30
"Martinez Inc",Residential,132367,0.26,0.94
Harvey-Scott,Residential,41083,0.08,0.29
"Adams, May and Oneill",Residential,88184,0.17,0.62
"Pierce, Payne and Scott",Residential,192185,0.37,1.36
"Bryant, Douglas and Murphy",Residential,87116,0.17,0.62
"Knight, Henry and Chandler",Residential,95454,0.19,0.68
Nicholson-Woodward,Residential,138832,0.27,0.98
"Harrison PLC",Residential,91426,0.18,0.65
"Howard Inc",Residential,87801,0.17,0.62
"Williams Group",Residential,106387,0.21,0.75
"Gallagher PLC",Residential,87510,0.17,0.62
Roberts-Brooks,Residential,283279,0.55,2.00
"Rogers, Peters and Brewer",Residential,149652,0.29,1.06
"Ross, Jenkins and Yates",Residential,191640,0.37,1.36
"Mcpherson Group",Residential,194694,0.38,1.38
"Murray Group",Residential,71683,0.14,0.51
Garrett-Edwards,Residential,162826,0.32,1.15
"Mccann, West and Rodriguez",Residential,186859,0.36,1.32
"Nelson LLC",Residential,87982,0.17,0.62
"Petty, Smith and Smith",Residential,102494,0.20,0.73
Byrd-Rodriguez,Residential,159713,0.31,1.13
"Hancock, Pearson and Murphy",Residential,132486,0.26,0.94
"Hull, Perez and Rasmussen",Residential,16885,0.03,0.12
"Lopez Group",Residential,15784,0.03,0.11
"Spencer and Sons",Residential,130321,0.25,0.92
Allen-Brown,Residential,75547,0.15,0.53
"Cunningham, Berry and Howard",Residential,213777,0.42,1.51
"Burns, Cox and Whitehead",Residential,54189,0.11,0.38
Ryan-Adams,Residential,122736,0.24,0.87
Patton-Morrison,Residential,259849,0.51,1.84
"Reid Group",Residential,87625,0.17,0.62
"Ramirez, Lopez and Trevino",Residential,25422,0.05,0.18
Barron-Mcgee,Residential,103780,0.20,0.73
Sanchez-Alexander,Residential,86737,0.17,0.61
Harris-Mullins,Residential,72523,0.14,0.51
"Orozco Ltd",Residential,128547,0.25,0.91
"Walker Inc",Residential,152987,0.30,1.08
"Martinez, Cox and Malone",Residential,11371,0.02,0.08
"Lee, Johnson and Zimmerman",Residential,118257,0.23,0.84
"Hickman and Sons",Residential,52246,0.10,0.37
"Wilson Ltd",Residential,48936,0.10,0.35
Young-Abbott,Residential,42562,0.08,0.30
"Martinez Ltd",Residential,42466,0.08,0.30
"Lewis, Douglas and Richard",Residential,23897,0.05,0.17
Spears-Cooper,Residential,45098,0.09,0.32
"Hogan Group",Residential,235391,0.46,1.67
"Kim, Robinson and Browning",Residential,48266,0.09,0.34
Stewart-Rojas,Residential,95668,0.19,0.68
"Stewart Ltd",Residential,62139,0.12,0.44
"Gibson, Martin and Russell",Residential,86324,0.17,0.61
Hernandez-Hebert,Residential,146279,0.28,1.04
Frederick-Wall,Residential,48096,0.09,0.34
Ford-Johnson,Residential,100141,0.19,0.71
"Casey and Sons",Residential,109949,0.21,0.78
"Anderson Inc",Residential,90186,0.18,0.64
"Meza, Gibson and Adams",Residential,57146,0.11,0.40
"Parrish Inc",Residential,72208,0.14,0.51
"Blevins PLC",Residential,82632,0.16,0.58
"Francis, Willis and Davis",Residential,97981,0.19,0.69
"Bentley, Barnes and Martin",Residential,50381,0.10,0.36
"Christian, Murray and Little",Residential,60580,0.12,0.43
Reeves-Blair,Residential,48987,0.10,0.35
"Ruiz, Powell and Jenkins",Residential,37725,0.07,0.27
"Nguyen Ltd",Residential,64350,0.13,0.46
"Ruiz Group",Residential,73546,0.14,0.52
"Bradley Inc",Residential,45101,0.09,0.32
"Morris, Gonzalez and Diaz",Residential,78365,0.15,0.55
"Banks, Coleman and Joyce",Residential,20671,0.04,0.15
"Gomez LLC",Residential,108458,0.21,0.77
"Bush LLC",Residential,13325,0.03,0.09
Collins-Mccoy,Residential,56935,0.11,0.40
Khan-Morales,Residential,90524,0.18,0.64
"Smith Group",Residential,112732,0.22,0.80
"White LLC",Residential,112443,0.22,0.80
"Martin Ltd",Residential,45158,0.09,0.32
"Lopez, Ingram and Hodge",Residential,226982,0.44,1.61
"Harris LLC",Residential,70778,0.14,0.50
Weeks-Morris,Residential,73913,0.14,0.52
Rios-Sexton,Residential,102194,0.20,0.72
Freeman-Martinez,Residential,134412,0.26,0.95
"Wilson Group",Residential,27252,0.05,0.19
"Beltran PLC",Residential,4693,0.01,0.03
Moon-Ball,Residential,79936,0.16,0.57
"Swanson, Benson and Campbell",Residential,82354,0.16,0.58
Rodriguez-Morrow,Residential,115301,0.22,0.82
Alvarez-Miller,Residential,39611,0.08,0.28
Campbell-Rodriguez,Residential,142646,0.28,1.01
"Schmitt Ltd",Retail,98056,0.19,0.88
Solomon-Bailey,Retail,38499,0.07,0.34
"Bowen, Garza and Scott",Retail,30027,0.06,0.27
Shepherd-Lee,Retail,120544,0.23,1.08
"Jones, Nelson and Jones",Retail,209302,0.41,1.87
"Mckinney LLC",Retail,160640,0.31,1.44
"White, Holt and Padilla",Retail,155760,0.30,1.39
"Stewart, Howard and Bowers",Retail,127579,0.25,1.14
"Mcdaniel, Summers and Rivera",Retail,7834,0.02,0.07
"Adkins and Sons",Retail,143324,0.28,1.28
"House PLC",Retail,97435,0.19,0.87
"Clarke, Herrera and Logan",Retail,93776,0.18,0.84
Lopez-Rodriguez,Retail,145651,0.28,1.30
"Thompson Group",Retail,171857,0.33,1.54
Adams-Knight,Retail,135543,0.26,1.21
Fernandez-Peterson,Retail,58377,0.11,0.52
"Jones, Barrera and Hines",Retail,24693,0.05,0.22
"Sharp, Payne and Solis",Retail,98083,0.19,0.88
"Douglas LLC",Retail,64104,0.12,0.57
White-Flores,Retail,35871,0.07,0.32
"Rogers and Sons",Retail,162521,0.32,1.45
Cline-Hill,Retail,111853,0.22,1.00
Miranda-Ruiz,Retail,98974,0.19,0.88
"Norman and Sons",Retail,83384,0.16,0.75
"Andrews, Smith and Mason",Retail,92517,0.18,0.83
"Burns, Castro and Mora",Retail,82804,0.16,0.74
"Ortiz, Marshall and Phillips",Retail,59075,0.11,0.53
"Sanchez Inc",Retail,118478,0.23,1.06
Evans-Marshall,Retail,109368,0.21,0.98
"Hodge, Mclaughlin and Jones",Retail,100622,0.20,0.90
"Doyle PLC",Retail,46883,0.09,0.42
"Cameron, Park and Willis",Retail,84944,0.17,0.76
"Underwood PLC",Retail,127345,0.25,1.14
"York PLC",Retail,75142,0.15,0.67
"Richards, Rosario and Garcia",Retail,69002,0.13,0.62
Holmes-Barrett,Retail,129557,0.25,1.16
"Martin, Williams and Lawson",Retail,106072,0.21,0.95
"Richmond Ltd",Retail,124649,0.24,1.11
Jones-Villa,Retail,49554,0.10,0.44
"Perez, Fernandez and Wong",Retail,100089,0.19,0.89
Scott-Jensen,Retail,102585,0.20,0.92
"Austin, Cross and Mclean",Retail,80034,0.16,0.72
Mitchell-Novak,Retail,154649,0.30,1.38
"Boyd Ltd",Retail,155423,0.30,1.39
Cruz-Green,Retail,62344,0.12,0.56
"Williams, Newman and Williamson",Retail,79797,0.16,0.71
"Neal PLC",Retail,116011,0.23,1.04
"Hester PLC",Retail,40073,0.08,0.36
Murray-Harris,Retail,182169,0.35,1.63
Griffin-Velez,Retail,66495,0.13,0.59
Moore-Irwin,Retail,271183,0.53,2.42
Sims-Arnold,Retail,137123,0.27,1.23
"Smith Inc",Retail,55513,0.11,0.50
"Mccullough, Stewart and Mora",Retail,24446,0.05,0.22
Mckee-Jensen,Retail,42956,0.08,0.38
"Estes and Sons",Retail,145375,0.28,1.30
"Lara Group",Retail,141364,0.27,1.26
"Smith LLC",Retail,76399,0.15,0.68
Price-Le,Retail,77369,0.15,0.69
"Barron, Thomas and Arias",Retail,62217,0.12,0.56
"Wheeler PLC",Retail,176010,0.34,1.57
"Velasquez PLC",Retail,165147,0.32,1.48
Lee-Martinez,Retail,173010,0.34,1.55
"Hurst Inc",Retail,65116,0.13,0.58
"Barr and Sons",Retail,82030,0.16,0.73
"Higgins Group",Retail,147346,0.29,1.32
Marquez-Cross,Retail,142763,0.28,1.28
"Roberts, Brown and Wheeler",Retail,90349,0.18,0.81
"Andersen, Montgomery and White",Retail,84265,0.16,0.75
"Rodriguez, Gibson and Thomas",Retail,145166,0.28,1.30
"Perez, Jones and Patterson",Retail,46745,0.09,0.42
"Anderson, Patel and Stewart",Retail,181871,0.35,1.63
"Chang, West and Fields",Retail,134942,0.26,1.21
Phillips-Smith,Retail,63441,0.12,0.57
Jones-Gray,Retail,88788,0.17,0.79
Craig-Foster,Retail,182722,0.36,1.63
Hernandez-Ballard,Retail,222947,0.43,1.99
"Salazar PLC",Retail,35598,0.07,0.32
Nelson-Phillips,Retail,116196,0.23,1.04
Alvarez-Wilson,Retail,119823,0.23,1.07
"Choi Inc",Retail,95971,0.19,0.86
"Walton, Freeman and Cruz",Retail,137297,0.27,1.23
"Salazar, Kennedy and Pierce",Retail,157586,0.31,1.41
"Wood, Proctor and Johnson",Retail,71027,0.14,0.63
"Jimenez, Wolfe and Mcfarland",Retail,118519,0.23,1.06
"Moore PLC",Retail,65453,0.13,0.58
"Brooks, Mason and Colon",Retail,61710,0.12,0.55
"Best, Willis and Brandt",Retail,63655,0.12,0.57
"Clayton Inc",Retail,213478,0.42,1.91
Robertson-Brown,Retail,66563,0.13,0.59
Lopez-Boyd,Retail,56660,0.11,0.51
"Hendricks Group",Retail,204013,0.40,1.82
"Eaton Ltd",Retail,112652,0.22,1.01
"Brewer, Henry and Ryan",Retail,145895,0.28,1.30
"Garcia and Sons",Retail,46946,0.09,0.42
"Cook, Mendoza and Leonard",Retail,58971,0.11,0.53
"Villanueva, Miller and Lopez",Retail,34084,0.07,0.30
"Hoffman, Hensley and Martinez",Retail,104923,0.20,0.94
"Burton, Chase and Garcia",Retail,147813,0.29,1.32
"Anderson LLC",Retail,41769,0.08,0.37
"Mckinney, White and Mason",Retail,139053,0.27,1.24
"Guerrero PLC",Retail,24986,0.05,0.22
"Townsend LLC",Retail,62685,0.12,0.56
"Lee Ltd",Retail,63725,0.12,0.57
Johnson-Beltran,Retail,206729,0.40,1.85
"Anderson, Anthony and Lewis",Retail,98706,0.19,0.88
"Gilmore, Frazier and Bright",Retail,100775,0.20,0.90
