property_name,lease_start,rent_change_from_prev_lease,rent_change
"Ball and Sons",2021-07-11,N/A,"No previous month record"
"Ball and Sons",2022-04-10,-24454,"rent decreased"
"Ball and Sons",2022-09-07,-2465,"rent decreased"
"Ball and Sons",2024-04-19,-7182,"rent decreased"
"Banks, Coleman and Joyce",2021-03-09,N/A,"No previous month record"
"Banks, Coleman and Joyce",2023-08-28,-17949,"rent decreased"
"Barr and Sons",2020-08-18,N/A,"No previous month record"
"Barr and Sons",2021-11-16,10015,rent_increased
"Barr and Sons",2021-12-07,5916,rent_increased
"Barr and Sons",2022-12-12,-21899,"rent decreased"
Barron-Mcgee,2021-08-05,N/A,"No previous month record"
Barron-Mcgee,2022-11-13,20798,rent_increased
Barron-Mcgee,2023-11-30,-14007,"rent decreased"
"Barron, Thomas and Arias",2020-05-14,N/A,"No previous month record"
"Barron, Thomas and Arias",2020-10-22,6160,rent_increased
"Barron, Thomas and Arias",2022-03-09,24641,rent_increased
"Barron, Thomas and Arias",2023-07-26,-32725,"rent decreased"
"Beltran PLC",2022-11-16,N/A,"No previous month record"
Bennett-Benson,2019-11-02,N/A,"No previous month record"
Bennett-Benson,2021-01-01,-607,"rent decreased"
Bennett-Benson,2022-01-18,15633,rent_increased
Bennett-Benson,2022-02-09,-23275,"rent decreased"
Bennett-Benson,2023-08-04,21352,rent_increased
"Bennett, Hess and Hernandez",2020-01-03,N/A,"No previous month record"
"Bennett, Hess and Hernandez",2021-05-18,-4993,"rent decreased"
"Bennett, Hess and Hernandez",2022-06-16,-2545,"rent decreased"
"Bentley, Barnes and Martin",2021-12-25,N/A,"No previous month record"
"Bentley, Barnes and Martin",2023-09-05,-13439,"rent decreased"
"Best, Brown and Anderson",2019-11-11,N/A,"No previous month record"
"Best, Brown and Anderson",2023-08-11,18420,rent_increased
"Best, Willis and Brandt",2021-06-26,N/A,"No previous month record"
"Best, Willis and Brandt",2024-02-17,-2099,"rent decreased"
"Blevins PLC",2020-10-25,N/A,"No previous month record"
"Blevins PLC",2021-04-21,-34698,"rent decreased"
"Blevins PLC",2022-09-13,23782,rent_increased
"Blevins PLC",2023-09-24,-16430,"rent decreased"
Blevins-Nguyen,2022-12-14,N/A,"No previous month record"
"Bonilla, White and Hall",2020-10-23,N/A,"No previous month record"
"Bowen, Garza and Scott",2021-06-13,N/A,"No previous month record"
"Bowen, Garza and Scott",2023-01-13,-14975,"rent decreased"
"Boyd Ltd",2020-02-21,N/A,"No previous month record"
"Boyd Ltd",2020-06-24,-2197,"rent decreased"
"Boyd Ltd",2020-07-23,19454,rent_increased
"Boyd Ltd",2020-08-12,-42221,"rent decreased"
"Boyd Ltd",2022-08-09,28251,rent_increased
"Boyd, Thompson and Rodriguez",2021-03-14,N/A,"No previous month record"
"Boyd, Thompson and Rodriguez",2021-06-08,22781,rent_increased
"Bradley Inc",2020-02-28,N/A,"No previous month record"
"Bradley Inc",2020-11-16,-21225,"rent decreased"
"Bradley Inc",2021-01-09,-967,"rent decreased"
"Branch and Sons",2020-05-23,N/A,"No previous month record"
"Branch and Sons",2022-07-05,-23598,"rent decreased"
"Branch and Sons",2023-02-07,33707,rent_increased
"Branch and Sons",2023-12-25,-21153,"rent decreased"
"Brandt, Cain and Simon",2020-11-03,N/A,"No previous month record"
"Brandt, Cain and Simon",2021-08-25,13807,rent_increased
"Brandt, Cain and Simon",2022-08-31,-16633,"rent decreased"
"Brandt, Cain and Simon",2022-11-15,-1354,"rent decreased"
"Brennan and Sons",2019-12-23,N/A,"No previous month record"
"Brennan and Sons",2020-08-25,33869,rent_increased
"Brennan and Sons",2020-12-07,-12087,"rent decreased"
"Brennan and Sons",2021-09-27,1164,rent_increased
"Brennan and Sons",2021-10-14,10048,rent_increased
"Brennan and Sons",2022-01-24,-40334,"rent decreased"
"Brennan and Sons",2022-02-03,24700,rent_increased
"Brewer, Abbott and Bolton",2020-01-07,N/A,"No previous month record"
"Brewer, Abbott and Bolton",2021-12-21,29379,rent_increased
"Brewer, Abbott and Bolton",2024-10-08,-3924,"rent decreased"
"Brewer, Henry and Ryan",2020-06-07,N/A,"No previous month record"
"Brewer, Henry and Ryan",2020-06-24,-13588,"rent decreased"
"Brewer, Henry and Ryan",2022-03-02,-22531,"rent decreased"
"Brewer, Henry and Ryan",2024-03-09,29197,rent_increased
"Brewer, Henry and Ryan",2024-09-28,-34224,"rent decreased"
"Bright and Sons",2020-05-10,N/A,"No previous month record"
"Bright and Sons",2021-10-30,4134,rent_increased
"Bright and Sons",2023-01-20,-25140,"rent decreased"
"Bright and Sons",2024-02-13,-16444,"rent decreased"
"Bright and Sons",2024-09-26,31585,rent_increased
"Brooks, Gonzalez and Bell",NULL,N/A,"No previous month record"
"Brooks, Mason and Colon",2021-01-22,N/A,"No previous month record"
"Brooks, Mason and Colon",2022-06-11,-5142,"rent decreased"
"Brooks, Mason and Colon",2024-07-20,-615,"rent decreased"
Brown-Riley,2021-11-09,N/A,"No previous month record"
Brown-Riley,2022-06-02,-8930,"rent decreased"
Brown-Smith,2021-04-20,N/A,"No previous month record"
Brown-Smith,2021-05-01,21537,rent_increased
Brown-Smith,2021-06-25,-36912,"rent decreased"
Brown-Smith,2023-06-10,15317,rent_increased
Brown-Smith,2023-07-13,23537,rent_increased
"Bryan, Hall and Wise",2019-11-21,N/A,"No previous month record"
"Bryan, Hall and Wise",2021-08-01,10085,rent_increased
"Bryan, Hall and Wise",2022-02-13,-775,"rent decreased"
"Bryan, Hall and Wise",2022-08-06,-8950,"rent decreased"
"Bryan, Hall and Wise",2023-07-18,-11886,"rent decreased"
"Bryan, Hall and Wise",2024-02-23,-10970,"rent decreased"
"Bryant, Douglas and Murphy",2019-10-27,N/A,"No previous month record"
"Bryant, Douglas and Murphy",2021-04-12,10009,rent_increased
"Bryant, Douglas and Murphy",2022-05-17,-23038,"rent decreased"
"Bryant, Douglas and Murphy",2024-03-05,34841,rent_increased
Buck-Anderson,2020-06-02,N/A,"No previous month record"
Buck-Anderson,2021-02-26,14100,rent_increased
Buck-Anderson,2021-08-22,-9081,"rent decreased"
Buck-Anderson,2024-07-16,13550,rent_increased
"Burns, Castro and Mora",2022-06-10,N/A,"No previous month record"
"Burns, Castro and Mora",2023-01-27,-15120,"rent decreased"
"Burns, Castro and Mora",2023-10-31,15061,rent_increased
"Burns, Cox and Whitehead",2022-09-19,N/A,"No previous month record"
"Burns, Cox and Whitehead",2022-10-19,-32534,"rent decreased"
"Burns, Cox and Whitehead",2023-02-11,6799,rent_increased
"Burton, Chase and Garcia",2019-11-21,N/A,"No previous month record"
"Burton, Chase and Garcia",2020-05-22,43475,rent_increased
"Burton, Chase and Garcia",2020-06-30,-28238,"rent decreased"
"Burton, Chase and Garcia",2020-07-16,16385,rent_increased
"Burton, Chase and Garcia",2022-07-07,4126,rent_increased
"Burton, Chase and Garcia",2023-11-20,-28439,"rent decreased"
"Burton, Chase and Garcia",2024-01-06,-4598,"rent decreased"
"Bush LLC",2020-12-06,N/A,"No previous month record"
Byrd-Rodriguez,2020-06-02,N/A,"No previous month record"
Byrd-Rodriguez,2021-08-20,-26394,"rent decreased"
Byrd-Rodriguez,2021-09-13,8268,rent_increased
Byrd-Rodriguez,2023-11-12,2639,rent_increased
Byrd-Rodriguez,2024-09-20,-3318,"rent decreased"
Cain-Alexander,2022-09-21,N/A,"No previous month record"
Cain-Alexander,2023-04-03,-11194,"rent decreased"
"Cameron, Park and Willis",2020-09-09,N/A,"No previous month record"
"Cameron, Park and Willis",2022-04-13,31487,rent_increased
"Cameron, Park and Willis",2023-09-02,-25652,"rent decreased"
"Campbell Inc",2023-05-26,N/A,"No previous month record"
"Campbell Inc",2023-06-05,8579,rent_increased
Campbell-Rodriguez,2020-08-18,N/A,"No previous month record"
Campbell-Rodriguez,2021-03-08,-19263,"rent decreased"
Campbell-Rodriguez,2021-07-14,5335,rent_increased
Campbell-Rodriguez,2021-10-11,-1712,"rent decreased"
Campbell-Rodriguez,2022-08-16,-9709,"rent decreased"
Campbell-Rodriguez,2024-02-10,22923,rent_increased
"Campos Inc",2020-01-02,N/A,"No previous month record"
"Campos Inc",2020-02-21,-20243,"rent decreased"
"Campos Inc",2021-10-15,-16219,"rent decreased"
"Campos Inc",2022-03-26,-7593,"rent decreased"
"Campos, Burgess and Webb",2020-12-15,N/A,"No previous month record"
"Campos, Burgess and Webb",2022-07-25,13136,rent_increased
"Cannon Group",2019-11-29,N/A,"No previous month record"
"Cannon Group",2020-02-23,-3659,"rent decreased"
"Cannon Group",2022-01-27,-5879,"rent decreased"
"Cannon Group",2022-12-07,17348,rent_increased
"Cannon Group",2023-04-05,-27141,"rent decreased"
"Cannon Group",2024-07-31,-20156,"rent decreased"
"Cannon Inc",2022-12-09,N/A,"No previous month record"
"Cannon Inc",2023-05-20,20619,rent_increased
"Cannon Inc",2024-09-19,-616,"rent decreased"
"Carpenter, Washington and Ramirez",2019-12-28,N/A,"No previous month record"
"Carpenter, Washington and Ramirez",2021-06-07,28699,rent_increased
"Carpenter, Washington and Ramirez",2022-04-11,-38548,"rent decreased"
"Carpenter, Washington and Ramirez",2022-11-19,14893,rent_increased
"Carpenter, Washington and Ramirez",2023-11-11,-16235,"rent decreased"
"Carpenter, Yang and Barton",2020-07-14,N/A,"No previous month record"
"Carpenter, Yang and Barton",2020-12-18,17083,rent_increased
"Carpenter, Yang and Barton",2022-08-13,-40759,"rent decreased"
Carroll-Mason,2024-04-30,N/A,"No previous month record"
"Carter Ltd",2019-12-10,N/A,"No previous month record"
"Carter Ltd",2020-09-06,-4440,"rent decreased"
"Carter Ltd",2021-10-01,21980,rent_increased
"Carter Ltd",2021-10-14,9256,rent_increased
"Carter Ltd",2022-02-26,-29434,"rent decreased"
"Carter Ltd",2024-08-14,-8112,"rent decreased"
Carter-Marquez,2022-02-06,N/A,"No previous month record"
Carter-Marquez,2022-04-19,-13718,"rent decreased"
Carter-Marquez,2022-05-15,-4616,"rent decreased"
Carter-Marquez,2023-02-01,-13363,"rent decreased"
"Casey and Sons",2020-09-03,N/A,"No previous month record"
"Casey and Sons",2021-07-30,14086,rent_increased
"Casey and Sons",2024-03-17,-10308,"rent decreased"
"Chan, Davenport and Mccoy",2021-07-10,N/A,"No previous month record"
"Chan, Davenport and Mccoy",2021-12-07,-12181,"rent decreased"
"Chan, Davenport and Mccoy",2022-03-31,13715,rent_increased
Chandler-Campbell,2024-04-28,N/A,"No previous month record"
Chandler-Campbell,2024-09-09,-30,"rent decreased"
Chaney-Jones,2022-05-12,N/A,"No previous month record"
Chaney-Jones,2024-07-31,27122,rent_increased
"Chang, West and Fields",2020-07-05,N/A,"No previous month record"
"Chang, West and Fields",2021-06-21,5457,rent_increased
"Chang, West and Fields",2022-08-26,1396,rent_increased
"Chang, West and Fields",2023-10-20,-45989,"rent decreased"
"Chavez, Briggs and Perkins",2022-07-30,N/A,"No previous month record"
"Chavez, Briggs and Perkins",2023-01-26,11439,rent_increased
"Choi Inc",2020-03-30,N/A,"No previous month record"
"Choi Inc",2020-07-12,-3151,"rent decreased"
"Choi Inc",2022-08-01,18485,rent_increased
"Choi Inc",2022-12-10,1238,rent_increased
"Choi Inc",2023-02-06,26374,rent_increased
"Christian, Herring and Garza",2021-05-27,N/A,"No previous month record"
"Christian, Murray and Little",2021-01-18,N/A,"No previous month record"
"Christian, Murray and Little",2022-08-09,-46629,"rent decreased"
"Christian, Murray and Little",2022-08-29,4513,rent_increased
"Cisneros Group",2019-11-30,N/A,"No previous month record"
"Cisneros Group",2021-03-26,-8052,"rent decreased"
"Cisneros Group",2024-02-15,28829,rent_increased
"Cisneros Group",2024-06-09,-42140,"rent decreased"
"Clark LLC",2021-06-15,N/A,"No previous month record"
"Clark LLC",2021-12-10,24673,rent_increased
"Clark LLC",2023-02-27,-19105,"rent decreased"
"Clark LLC",2023-10-05,22185,rent_increased
"Clark LLC",2024-03-13,-19286,"rent decreased"
"Clark LLC",2024-03-14,-18659,"rent decreased"
"Clark LLC",2024-03-28,5680,rent_increased
Clark-Riggs,2020-02-10,N/A,"No previous month record"
Clark-Riggs,2020-07-10,-17183,"rent decreased"
"Clarke, Herrera and Logan",2020-07-24,N/A,"No previous month record"
"Clarke, Herrera and Logan",2021-06-14,-18581,"rent decreased"
"Clarke, Herrera and Logan",2022-01-18,3150,rent_increased
"Clayton Inc",2021-05-20,N/A,"No previous month record"
"Clayton Inc",2021-10-11,35064,rent_increased
"Clayton Inc",2022-07-28,5277,rent_increased
"Clayton Inc",2023-04-13,870,rent_increased
"Clayton Inc",2023-06-30,-8672,"rent decreased"
"Clayton Inc",2023-08-26,-28620,"rent decreased"
"Clayton Inc",2024-04-22,-992,"rent decreased"
Cline-Hill,2020-04-15,N/A,"No previous month record"
Cline-Hill,2020-12-16,25213,rent_increased
Cline-Hill,2020-12-23,-24436,"rent decreased"
Cline-Hill,2023-04-22,5639,rent_increased
Cline-Hill,2024-02-10,11732,rent_increased
Cline-Hill,2024-07-11,-4231,"rent decreased"
Coleman-Hayes,2021-01-21,N/A,"No previous month record"
Coleman-Hayes,2021-02-23,16371,rent_increased
Coleman-Hayes,2022-10-08,-3507,"rent decreased"
Coleman-Hayes,2023-08-16,13713,rent_increased
Collins-Mccoy,2020-05-13,N/A,"No previous month record"
Collins-Mccoy,2023-10-17,-30717,"rent decreased"
Contreras-Delgado,2019-11-22,N/A,"No previous month record"
Contreras-Delgado,2021-05-07,-25524,"rent decreased"
Contreras-Delgado,2022-10-13,24092,rent_increased
Contreras-Delgado,2024-09-09,-18564,"rent decreased"
"Conway Inc",2020-06-14,N/A,"No previous month record"
"Conway Inc",2021-07-16,1441,rent_increased
"Conway Inc",2022-02-13,-2909,"rent decreased"
"Conway Inc",2023-01-22,12049,rent_increased
"Conway Inc",2023-02-23,-15364,"rent decreased"
"Cook and Sons",2020-07-06,N/A,"No previous month record"
"Cook and Sons",2022-07-24,12804,rent_increased
"Cook and Sons",2024-09-19,-16533,"rent decreased"
"Cook, Mendoza and Leonard",2021-05-26,N/A,"No previous month record"
"Cook, Mendoza and Leonard",2022-12-08,22219,rent_increased
"Cooper Group",2020-09-09,N/A,"No previous month record"
"Cooper Group",2021-03-03,-1675,"rent decreased"
"Cooper Group",2022-03-19,44877,rent_increased
"Cooper Group",2022-12-25,-33378,"rent decreased"
"Cooper Group",2023-08-15,18924,rent_increased
"Cooper Group",2024-08-31,-6803,"rent decreased"
Cooper-Michael,2020-05-29,N/A,"No previous month record"
Cooper-Michael,2021-12-05,-12507,"rent decreased"
Cooper-Michael,2022-09-21,17183,rent_increased
Cooper-Michael,2022-12-09,13338,rent_increased
Cooper-Michael,2023-04-28,-2306,"rent decreased"
Cooper-Michael,2024-05-15,-21744,"rent decreased"
"Costa LLC",2020-04-22,N/A,"No previous month record"
"Costa LLC",2021-10-27,19840,rent_increased
"Costa LLC",2022-04-26,2546,rent_increased
"Costa LLC",2023-05-04,-31194,"rent decreased"
"Cox PLC",2020-07-02,N/A,"No previous month record"
"Cox PLC",2022-03-22,10949,rent_increased
"Cox PLC",2024-01-06,18646,rent_increased
"Cox PLC",2024-09-02,-3022,"rent decreased"
Cox-Hardin,2021-04-21,N/A,"No previous month record"
Cox-Hardin,2023-11-18,-9908,"rent decreased"
Craig-Foster,2020-02-17,N/A,"No previous month record"
Craig-Foster,2021-05-08,-364,"rent decreased"
Craig-Foster,2021-07-15,-38964,"rent decreased"
Craig-Foster,2021-12-10,14177,rent_increased
Craig-Foster,2022-02-06,24902,rent_increased
Craig-Foster,2023-04-15,-3979,"rent decreased"
Cruz-Green,2019-11-10,N/A,"No previous month record"
Cruz-Green,2024-02-05,24470,rent_increased
"Cunningham Inc",2020-01-06,N/A,"No previous month record"
"Cunningham Inc",2020-03-29,-17162,"rent decreased"
"Cunningham Inc",2023-06-07,17441,rent_increased
"Cunningham Inc",2023-07-08,-4300,"rent decreased"
"Cunningham Inc",2023-08-25,7507,rent_increased
"Cunningham Inc",2024-08-12,17841,rent_increased
"Cunningham Inc",2024-10-17,-35088,"rent decreased"
"Cunningham Inc",2024-10-18,2617,rent_increased
Cunningham-Floyd,2020-05-04,N/A,"No previous month record"
Cunningham-Floyd,2021-09-01,-5714,"rent decreased"
Cunningham-Floyd,2022-05-15,-15740,"rent decreased"
Cunningham-Floyd,2023-07-19,17103,rent_increased
Cunningham-Floyd,2024-04-19,-3219,"rent decreased"
"Cunningham, Berry and Howard",2020-05-01,N/A,"No previous month record"
"Cunningham, Berry and Howard",2021-01-30,16290,rent_increased
"Cunningham, Berry and Howard",2021-07-13,-22301,"rent decreased"
"Cunningham, Berry and Howard",2022-08-24,7211,rent_increased
"Cunningham, Berry and Howard",2024-02-05,-3800,"rent decreased"
"Cunningham, Berry and Howard",2024-05-10,-9334,"rent decreased"
"Cunningham, Berry and Howard",2024-06-21,30057,rent_increased
"Davies, Mccoy and Cox",2021-03-05,N/A,"No previous month record"
"Davies, Mccoy and Cox",2021-04-20,-26267,"rent decreased"
"Davies, Mccoy and Cox",2021-08-25,13700,rent_increased
"Davies, Mccoy and Cox",2023-01-07,11395,rent_increased
"Davies, Mccoy and Cox",2023-11-09,-8982,"rent decreased"
"Davis Ltd",2020-04-08,N/A,"No previous month record"
"Davis Ltd",2020-12-14,-8613,"rent decreased"
"Davis Ltd",2024-09-27,24394,rent_increased
Davis-Quinn,2019-11-14,N/A,"No previous month record"
Davis-Quinn,2020-04-22,-44304,"rent decreased"
Davis-Quinn,2020-05-26,1874,rent_increased
Davis-Quinn,2020-08-23,2842,rent_increased
Davis-Quinn,2020-10-07,-3601,"rent decreased"
Davis-Quinn,2021-12-07,29164,rent_increased
Davis-Quinn,2023-07-09,2714,rent_increased
Davis-Quinn,2024-08-05,-26115,"rent decreased"
Davis-Wood,2020-03-27,N/A,"No previous month record"
Davis-Wood,2021-07-07,-35097,"rent decreased"
Davis-Wood,2022-03-25,23457,rent_increased
Davis-Wood,2022-09-11,-2280,"rent decreased"
Davis-Wood,2023-05-07,-17075,"rent decreased"
"Dixon LLC",NULL,N/A,"No previous month record"
"Douglas LLC",2024-02-26,N/A,"No previous month record"
"Douglas LLC",2024-08-08,6306,rent_increased
"Doyle LLC",2020-02-06,N/A,"No previous month record"
"Doyle LLC",2021-01-05,15914,rent_increased
"Doyle LLC",2023-02-03,4369,rent_increased
"Doyle LLC",2023-10-09,-24752,"rent decreased"
"Doyle LLC",2023-12-19,11304,rent_increased
"Doyle PLC",2023-03-19,N/A,"No previous month record"
"Doyle PLC",2023-08-10,-7433,"rent decreased"
"Drake, Moore and Stevenson",2020-03-23,N/A,"No previous month record"
"Durham, Peterson and Rosario",2024-02-07,N/A,"No previous month record"
"Durham, Peterson and Rosario",2024-03-22,1556,rent_increased
"Eaton Ltd",2021-06-09,N/A,"No previous month record"
"Eaton Ltd",2022-04-14,34012,rent_increased
"Eaton Ltd",2024-01-28,-20068,"rent decreased"
"Eaton Ltd",2024-02-15,25524,rent_increased
Edwards-Miller,2020-03-31,N/A,"No previous month record"
Edwards-Miller,2023-07-06,-10602,"rent decreased"
Edwards-Stewart,2019-12-19,N/A,"No previous month record"
Edwards-Stewart,2020-02-18,7851,rent_increased
Edwards-Stewart,2022-08-29,11780,rent_increased
Edwards-Stewart,2023-01-01,-6981,"rent decreased"
Edwards-Stewart,2024-07-30,-2532,"rent decreased"
"Elliott Group",2019-11-19,N/A,"No previous month record"
"Elliott Group",2020-08-26,-6003,"rent decreased"
"Elliott Group",2021-08-14,26902,rent_increased
"Elliott Group",2024-03-02,-40013,"rent decreased"
"Ellis LLC",2021-06-24,N/A,"No previous month record"
"Ellis LLC",2021-08-21,-2514,"rent decreased"
"Ellis LLC",2021-10-09,14379,rent_increased
"Ellis LLC",2021-12-05,-10479,"rent decreased"
"Ellis LLC",2024-04-22,-14034,"rent decreased"
"Ellis LLC",2024-08-26,23852,rent_increased
Ellis-Barker,2020-10-26,N/A,"No previous month record"
Ellis-Barker,2022-09-03,-30953,"rent decreased"
Ellis-Barker,2022-12-24,435,rent_increased
Ellis-Barker,2023-08-18,2392,rent_increased
"Estes and Sons",2020-01-15,N/A,"No previous month record"
"Estes and Sons",2020-10-31,32939,rent_increased
"Estes and Sons",2021-04-28,11129,rent_increased
"Estes and Sons",2023-02-19,-34811,"rent decreased"
"Estes and Sons",2024-04-01,24984,rent_increased
"Estrada PLC",2022-08-28,N/A,"No previous month record"
"Evans LLC",2020-10-23,N/A,"No previous month record"
"Evans LLC",2021-01-23,1874,rent_increased
Evans-Marshall,2020-03-16,N/A,"No previous month record"
Evans-Marshall,2021-06-06,6181,rent_increased
Evans-Marshall,2022-02-28,18489,rent_increased
Evans-Marshall,2022-09-29,-30061,"rent decreased"
Evans-Marshall,2023-09-25,40344,rent_increased
"Evans, Hardin and Rodriguez",2020-07-14,N/A,"No previous month record"
"Evans, Hardin and Rodriguez",2020-11-27,19170,rent_increased
"Evans, Hardin and Rodriguez",2021-05-15,-31197,"rent decreased"
"Evans, Hardin and Rodriguez",2021-08-19,36244,rent_increased
"Farrell, Schultz and Manning",2021-06-26,N/A,"No previous month record"
"Farrell, Schultz and Manning",2024-02-26,-4359,"rent decreased"
"Faulkner LLC",2020-03-14,N/A,"No previous month record"
"Faulkner LLC",2022-02-15,10179,rent_increased
"Faulkner LLC",2024-06-25,25754,rent_increased
Fernandez-Peterson,2020-01-18,N/A,"No previous month record"
Fernandez-Peterson,2022-08-15,22987,rent_increased
Fernandez-Peterson,2023-03-06,-19715,"rent decreased"
"Fletcher Ltd",2021-01-16,N/A,"No previous month record"
"Fletcher Ltd",2021-12-17,-20857,"rent decreased"
"Fletcher Ltd",2022-01-22,2773,rent_increased
"Fletcher Ltd",2023-04-17,-17948,"rent decreased"
"Fletcher Ltd",2024-07-17,-3132,"rent decreased"
"Flores Ltd",2020-05-09,N/A,"No previous month record"
Ford-Johnson,2020-01-27,N/A,"No previous month record"
Ford-Johnson,2020-02-26,-21133,"rent decreased"
Ford-Johnson,2022-01-17,15499,rent_increased
Ford-Johnson,2023-03-11,6566,rent_increased
"Francis, Willis and Davis",2020-06-14,N/A,"No previous month record"
"Francis, Willis and Davis",2020-06-29,1806,rent_increased
"Francis, Willis and Davis",2021-02-27,-12749,"rent decreased"
Frederick-Wall,2024-02-20,N/A,"No previous month record"
"Freeman Group",2020-01-28,N/A,"No previous month record"
"Freeman Group",2020-03-23,3453,rent_increased
"Freeman Group",2020-05-28,-19297,"rent decreased"
