property_name,lease_start,lease_start_year,cumulative_lease_count
"Anderson Inc",2022-01-26,2022,2
"Anderson Inc",2022-04-08,2022,3
"Anderson Inc",2022-06-23,2022,4
"Anderson LLC",2020-04-17,2020,1
"Anderson LLC",2022-05-29,2022,2
"Anderson LLC",2023-07-26,2023,3
"Anderson, Anthony and Lewis",2019-11-24,2019,1
"Anderson, Anthony and Lewis",2020-03-13,2020,2
"Anderson, Anthony and Lewis",2020-09-01,2020,3
"Anderson, Anthony and Lewis",2021-06-18,2021,4
"Anderson, Harrison and Burton",2021-08-11,2021,1
"Anderson, Harrison and Burton",2021-09-07,2021,2
"Anderson, Harrison and Burton",2021-10-06,2021,3
"Anderson, Harrison and Burton",2022-12-14,2022,4
"Anderson, Harrison and Burton",2023-03-07,2023,5
"Anderson, Harrison and Burton",2023-06-25,2023,6
"Anderson, Patel and Stewart",2021-01-31,2021,1
"Anderson, Patel and Stewart",2021-05-20,2021,2
"Anderson, Patel and Stewart",2021-12-05,2021,3
"Anderson, Patel and Stewart",2023-04-22,2023,4
"Anderson, Patel and Stewart",2023-08-31,2023,5
"Anderson, Patel and Stewart",2023-11-25,2023,6
"Anderson, Patel and Stewart",2023-12-14,2023,7
"Andrews, Smith and Mason",2020-01-05,2020,1
"Andrews, Smith and Mason",2021-01-13,2021,2
"Andrews, Smith and Mason",2022-05-29,2022,3
"Andrews, Smith and Mason",2023-08-06,2023,4
"Arnold, Lam and Case",2019-12-17,2019,1
"Arnold, Lam and Case",2021-02-10,2021,2
"Arnold, Lam and Case",2021-07-28,2021,3
"Atkinson, Fuller and Ingram",2020-03-22,2020,1
"Atkinson, Fuller and Ingram",2024-02-12,2024,2
"Atkinson, Fuller and Ingram",2024-07-06,2024,3
"Austin, Cross and Mclean",2020-01-16,2020,1
"Austin, Cross and Mclean",2020-07-31,2020,2
"Austin, Cross and Mclean",2023-02-10,2023,3
"Austin, Cross and Mclean",2023-07-23,2023,4
"Austin, Miller and Thomas",2020-04-28,2020,1
"Austin, Miller and Thomas",2021-10-03,2021,2
Baker-Sanders,2019-12-29,2019,1
Baker-Sanders,2021-09-01,2021,2
Baker-Sanders,2023-02-19,2023,3
Baker-Sanders,2023-12-13,2023,4
Baker-Sanders,2024-09-02,2024,5
"Ball and Sons",2021-07-11,2021,1
"Ball and Sons",2022-04-10,2022,2
"Ball and Sons",2022-09-07,2022,3
"Ball and Sons",2024-04-19,2024,4
"Banks, Coleman and Joyce",2021-03-09,2021,1
"Banks, Coleman and Joyce",2023-08-28,2023,2
"Barr and Sons",2020-08-18,2020,1
"Barr and Sons",2021-11-16,2021,2
"Barr and Sons",2021-12-07,2021,3
"Barr and Sons",2022-12-12,2022,4
Barron-Mcgee,2021-08-05,2021,1
Barron-Mcgee,2022-11-13,2022,2
Barron-Mcgee,2023-11-30,2023,3
"Barron, Thomas and Arias",2020-05-14,2020,1
"Barron, Thomas and Arias",2020-10-22,2020,2
"Barron, Thomas and Arias",2022-03-09,2022,3
"Barron, Thomas and Arias",2023-07-26,2023,4
"Beltran PLC",2022-11-16,2022,1
Bennett-Benson,2019-11-02,2019,1
Bennett-Benson,2021-01-01,2021,2
Bennett-Benson,2022-01-18,2022,3
Bennett-Benson,2022-02-09,2022,4
Bennett-Benson,2023-08-04,2023,5
"Bennett, Hess and Hernandez",2020-01-03,2020,1
"Bennett, Hess and Hernandez",2021-05-18,2021,2
"Bennett, Hess and Hernandez",2022-06-16,2022,3
"Bentley, Barnes and Martin",2021-12-25,2021,1
"Bentley, Barnes and Martin",2023-09-05,2023,2
"Best, Brown and Anderson",2019-11-11,2019,1
"Best, Brown and Anderson",2023-08-11,2023,2
"Best, Willis and Brandt",2021-06-26,2021,1
"Best, Willis and Brandt",2024-02-17,2024,2
"Blevins PLC",2020-10-25,2020,1
"Blevins PLC",2021-04-21,2021,2
"Blevins PLC",2022-09-13,2022,3
"Blevins PLC",2023-09-24,2023,4
Blevins-Nguyen,2022-12-14,2022,1
"Bonilla, White and Hall",2020-10-23,2020,1
"Bowen, Garza and Scott",2021-06-13,2021,1
"Bowen, Garza and Scott",2023-01-13,2023,2
"Boyd Ltd",2020-02-21,2020,1
"Boyd Ltd",2020-06-24,2020,2
"Boyd Ltd",2020-07-23,2020,3
"Boyd Ltd",2020-08-12,2020,4
"Boyd Ltd",2022-08-09,2022,5
"Boyd, Thompson and Rodriguez",2021-03-14,2021,1
"Boyd, Thompson and Rodriguez",2021-06-08,2021,2
"Bradley Inc",2020-02-28,2020,1
"Bradley Inc",2020-11-16,2020,2
"Bradley Inc",2021-01-09,2021,3
"Branch and Sons",2020-05-23,2020,1
"Branch and Sons",2022-07-05,2022,2
"Branch and Sons",2023-02-07,2023,3
"Branch and Sons",2023-12-25,2023,4
"Brandt, Cain and Simon",2020-11-03,2020,1
"Brandt, Cain and Simon",2021-08-25,2021,2
"Brandt, Cain and Simon",2022-08-31,2022,3
"Brandt, Cain and Simon",2022-11-15,2022,4
"Brennan and Sons",2019-12-23,2019,1
"Brennan and Sons",2020-08-25,2020,2
"Brennan and Sons",2020-12-07,2020,3
"Brennan and Sons",2021-09-27,2021,4
"Brennan and Sons",2021-10-14,2021,5
"Brennan and Sons",2022-01-24,2022,6
"Brennan and Sons",2022-02-03,2022,7
"Brewer, Abbott and Bolton",2020-01-07,2020,1
"Brewer, Abbott and Bolton",2021-12-21,2021,2
"Brewer, Abbott and Bolton",2024-10-08,2024,3
"Brewer, Henry and Ryan",2020-06-07,2020,1
"Brewer, Henry and Ryan",2020-06-24,2020,2
"Brewer, Henry and Ryan",2022-03-02,2022,3
"Brewer, Henry and Ryan",2024-03-09,2024,4
"Brewer, Henry and Ryan",2024-09-28,2024,5
"Bright and Sons",2020-05-10,2020,1
"Bright and Sons",2021-10-30,2021,2
"Bright and Sons",2023-01-20,2023,3
"Bright and Sons",2024-02-13,2024,4
"Bright and Sons",2024-09-26,2024,5
"Brooks, Mason and Colon",2021-01-22,2021,1
"Brooks, Mason and Colon",2022-06-11,2022,2
"Brooks, Mason and Colon",2024-07-20,2024,3
Brown-Riley,2021-11-09,2021,1
Brown-Riley,2022-06-02,2022,2
Brown-Smith,2021-04-20,2021,1
Brown-Smith,2021-05-01,2021,2
Brown-Smith,2021-06-25,2021,3
Brown-Smith,2023-06-10,2023,4
Brown-Smith,2023-07-13,2023,5
"Bryan, Hall and Wise",2019-11-21,2019,1
"Bryan, Hall and Wise",2021-08-01,2021,2
"Bryan, Hall and Wise",2022-02-13,2022,3
"Bryan, Hall and Wise",2022-08-06,2022,4
"Bryan, Hall and Wise",2023-07-18,2023,5
"Bryan, Hall and Wise",2024-02-23,2024,6
"Bryant, Douglas and Murphy",2019-10-27,2019,1
"Bryant, Douglas and Murphy",2021-04-12,2021,2
"Bryant, Douglas and Murphy",2022-05-17,2022,3
"Bryant, Douglas and Murphy",2024-03-05,2024,4
Buck-Anderson,2020-06-02,2020,1
Buck-Anderson,2021-02-26,2021,2
Buck-Anderson,2021-08-22,2021,3
Buck-Anderson,2024-07-16,2024,4
"Burns, Castro and Mora",2022-06-10,2022,1
"Burns, Castro and Mora",2023-01-27,2023,2
"Burns, Castro and Mora",2023-10-31,2023,3
"Burns, Cox and Whitehead",2022-09-19,2022,1
"Burns, Cox and Whitehead",2022-10-19,2022,2
"Burns, Cox and Whitehead",2023-02-11,2023,3
"Burton, Chase and Garcia",2019-11-21,2019,1
"Burton, Chase and Garcia",2020-05-22,2020,2
"Burton, Chase and Garcia",2020-06-30,2020,3
"Burton, Chase and Garcia",2020-07-16,2020,4
"Burton, Chase and Garcia",2022-07-07,2022,5
"Burton, Chase and Garcia",2023-11-20,2023,6
"Burton, Chase and Garcia",2024-01-06,2024,7
"Bush LLC",2020-12-06,2020,1
Byrd-Rodriguez,2020-06-02,2020,1
Byrd-Rodriguez,2021-08-20,2021,2
Byrd-Rodriguez,2021-09-13,2021,3
Byrd-Rodriguez,2023-11-12,2023,4
Byrd-Rodriguez,2024-09-20,2024,5
Cain-Alexander,2022-09-21,2022,1
Cain-Alexander,2023-04-03,2023,2
"Cameron, Park and Willis",2020-09-09,2020,1
"Cameron, Park and Willis",2022-04-13,2022,2
"Cameron, Park and Willis",2023-09-02,2023,3
"Campbell Inc",2023-05-26,2023,1
"Campbell Inc",2023-06-05,2023,2
Campbell-Rodriguez,2020-08-18,2020,1
Campbell-Rodriguez,2021-03-08,2021,2
Campbell-Rodriguez,2021-07-14,2021,3
Campbell-Rodriguez,2021-10-11,2021,4
Campbell-Rodriguez,2022-08-16,2022,5
Campbell-Rodriguez,2024-02-10,2024,6
"Campos Inc",2020-01-02,2020,1
"Campos Inc",2020-02-21,2020,2
"Campos Inc",2021-10-15,2021,3
"Campos Inc",2022-03-26,2022,4
"Campos, Burgess and Webb",2020-12-15,2020,1
"Campos, Burgess and Webb",2022-07-25,2022,2
"Cannon Group",2019-11-29,2019,1
"Cannon Group",2020-02-23,2020,2
"Cannon Group",2022-01-27,2022,3
"Cannon Group",2022-12-07,2022,4
"Cannon Group",2023-04-05,2023,5
"Cannon Group",2024-07-31,2024,6
"Cannon Inc",2022-12-09,2022,1
"Cannon Inc",2023-05-20,2023,2
"Cannon Inc",2024-09-19,2024,3
"Carpenter, Washington and Ramirez",2019-12-28,2019,1
"Carpenter, Washington and Ramirez",2021-06-07,2021,2
"Carpenter, Washington and Ramirez",2022-04-11,2022,3
"Carpenter, Washington and Ramirez",2022-11-19,2022,4
"Carpenter, Washington and Ramirez",2023-11-11,2023,5
"Carpenter, Yang and Barton",2020-07-14,2020,1
"Carpenter, Yang and Barton",2020-12-18,2020,2
"Carpenter, Yang and Barton",2022-08-13,2022,3
Carroll-Mason,2024-04-30,2024,1
"Carter Ltd",2019-12-10,2019,1
"Carter Ltd",2020-09-06,2020,2
"Carter Ltd",2021-10-01,2021,3
"Carter Ltd",2021-10-14,2021,4
"Carter Ltd",2022-02-26,2022,5
"Carter Ltd",2024-08-14,2024,6
Carter-Marquez,2022-02-06,2022,1
Carter-Marquez,2022-04-19,2022,2
Carter-Marquez,2022-05-15,2022,3
Carter-Marquez,2023-02-01,2023,4
"Casey and Sons",2020-09-03,2020,1
"Casey and Sons",2021-07-30,2021,2
"Casey and Sons",2024-03-17,2024,3
"Chan, Davenport and Mccoy",2021-07-10,2021,1
"Chan, Davenport and Mccoy",2021-12-07,2021,2
"Chan, Davenport and Mccoy",2022-03-31,2022,3
Chandler-Campbell,2024-04-28,2024,1
Chandler-Campbell,2024-09-09,2024,2
Chaney-Jones,2022-05-12,2022,1
Chaney-Jones,2024-07-31,2024,2
"Chang, West and Fields",2020-07-05,2020,1
"Chang, West and Fields",2021-06-21,2021,2
"Chang, West and Fields",2022-08-26,2022,3
"Chang, West and Fields",2023-10-20,2023,4
"Chavez, Briggs and Perkins",2022-07-30,2022,1
"Chavez, Briggs and Perkins",2023-01-26,2023,2
"Choi Inc",2020-03-30,2020,1
"Choi Inc",2020-07-12,2020,2
"Choi Inc",2022-08-01,2022,3
"Choi Inc",2022-12-10,2022,4
"Choi Inc",2023-02-06,2023,5
"Christian, Herring and Garza",2021-05-27,2021,1
"Christian, Murray and Little",2021-01-18,2021,1
"Christian, Murray and Little",2022-08-09,2022,2
"Christian, Murray and Little",2022-08-29,2022,3
"Cisneros Group",2019-11-30,2019,1
"Cisneros Group",2021-03-26,2021,2
"Cisneros Group",2024-02-15,2024,3
"Cisneros Group",2024-06-09,2024,4
"Clark LLC",2021-06-15,2021,1
"Clark LLC",2021-12-10,2021,2
"Clark LLC",2023-02-27,2023,3
"Clark LLC",2023-10-05,2023,4
"Clark LLC",2024-03-13,2024,5
"Clark LLC",2024-03-14,2024,6
"Clark LLC",2024-03-28,2024,7
Clark-Riggs,2020-02-10,2020,1
Clark-Riggs,2020-07-10,2020,2
"Clarke, Herrera and Logan",2020-07-24,2020,1
"Clarke, Herrera and Logan",2021-06-14,2021,2
"Clarke, Herrera and Logan",2022-01-18,2022,3
"Clayton Inc",2021-05-20,2021,1
"Clayton Inc",2021-10-11,2021,2
"Clayton Inc",2022-07-28,2022,3
"Clayton Inc",2023-04-13,2023,4
"Clayton Inc",2023-06-30,2023,5
"Clayton Inc",2023-08-26,2023,6
"Clayton Inc",2024-04-22,2024,7
Cline-Hill,2020-04-15,2020,1
Cline-Hill,2020-12-16,2020,2
Cline-Hill,2020-12-23,2020,3
Cline-Hill,2023-04-22,2023,4
Cline-Hill,2024-02-10,2024,5
Cline-Hill,2024-07-11,2024,6
Coleman-Hayes,2021-01-21,2021,1
Coleman-Hayes,2021-02-23,2021,2
Coleman-Hayes,2022-10-08,2022,3
Coleman-Hayes,2023-08-16,2023,4
Collins-Mccoy,2020-05-13,2020,1
Collins-Mccoy,2023-10-17,2023,2
Contreras-Delgado,2019-11-22,2019,1
Contreras-Delgado,2021-05-07,2021,2
Contreras-Delgado,2022-10-13,2022,3
Contreras-Delgado,2024-09-09,2024,4
"Conway Inc",2020-06-14,2020,1
"Conway Inc",2021-07-16,2021,2
"Conway Inc",2022-02-13,2022,3
"Conway Inc",2023-01-22,2023,4
"Conway Inc",2023-02-23,2023,5
"Cook and Sons",2020-07-06,2020,1
"Cook and Sons",2022-07-24,2022,2
"Cook and Sons",2024-09-19,2024,3
"Cook, Mendoza and Leonard",2021-05-26,2021,1
"Cook, Mendoza and Leonard",2022-12-08,2022,2
"Cooper Group",2020-09-09,2020,1
"Cooper Group",2021-03-03,2021,2
"Cooper Group",2022-03-19,2022,3
"Cooper Group",2022-12-25,2022,4
"Cooper Group",2023-08-15,2023,5
"Cooper Group",2024-08-31,2024,6
Cooper-Michael,2020-05-29,2020,1
Cooper-Michael,2021-12-05,2021,2
Cooper-Michael,2022-09-21,2022,3
Cooper-Michael,2022-12-09,2022,4
Cooper-Michael,2023-04-28,2023,5
Cooper-Michael,2024-05-15,2024,6
"Costa LLC",2020-04-22,2020,1
"Costa LLC",2021-10-27,2021,2
"Costa LLC",2022-04-26,2022,3
"Costa LLC",2023-05-04,2023,4
"Cox PLC",2020-07-02,2020,1
"Cox PLC",2022-03-22,2022,2
"Cox PLC",2024-01-06,2024,3
"Cox PLC",2024-09-02,2024,4
Cox-Hardin,2021-04-21,2021,1
Cox-Hardin,2023-11-18,2023,2
Craig-Foster,2020-02-17,2020,1
Craig-Foster,2021-05-08,2021,2
Craig-Foster,2021-07-15,2021,3
Craig-Foster,2021-12-10,2021,4
Craig-Foster,2022-02-06,2022,5
Craig-Foster,2023-04-15,2023,6
Cruz-Green,2019-11-10,2019,1
Cruz-Green,2024-02-05,2024,2
"Cunningham Inc",2020-01-06,2020,1
"Cunningham Inc",2020-03-29,2020,2
"Cunningham Inc",2023-06-07,2023,3
"Cunningham Inc",2023-07-08,2023,4
"Cunningham Inc",2023-08-25,2023,5
"Cunningham Inc",2024-08-12,2024,6
"Cunningham Inc",2024-10-17,2024,7
"Cunningham Inc",2024-10-18,2024,8
Cunningham-Floyd,2020-05-04,2020,1
Cunningham-Floyd,2021-09-01,2021,2
Cunningham-Floyd,2022-05-15,2022,3
Cunningham-Floyd,2023-07-19,2023,4
Cunningham-Floyd,2024-04-19,2024,5
"Cunningham, Berry and Howard",2020-05-01,2020,1
"Cunningham, Berry and Howard",2021-01-30,2021,2
"Cunningham, Berry and Howard",2021-07-13,2021,3
"Cunningham, Berry and Howard",2022-08-24,2022,4
"Cunningham, Berry and Howard",2024-02-05,2024,5
"Cunningham, Berry and Howard",2024-05-10,2024,6
"Cunningham, Berry and Howard",2024-06-21,2024,7
"Davies, Mccoy and Cox",2021-03-05,2021,1
"Davies, Mccoy and Cox",2021-04-20,2021,2
"Davies, Mccoy and Cox",2021-08-25,2021,3
"Davies, Mccoy and Cox",2023-01-07,2023,4
"Davies, Mccoy and Cox",2023-11-09,2023,5
"Davis Ltd",2020-04-08,2020,1
"Davis Ltd",2020-12-14,2020,2
"Davis Ltd",2024-09-27,2024,3
Davis-Quinn,2019-11-14,2019,1
Davis-Quinn,2020-04-22,2020,2
Davis-Quinn,2020-05-26,2020,3
Davis-Quinn,2020-08-23,2020,4
Davis-Quinn,2020-10-07,2020,5
Davis-Quinn,2021-12-07,2021,6
Davis-Quinn,2023-07-09,2023,7
Davis-Quinn,2024-08-05,2024,8
Davis-Wood,2020-03-27,2020,1
Davis-Wood,2021-07-07,2021,2
Davis-Wood,2022-03-25,2022,3
Davis-Wood,2022-09-11,2022,4
Davis-Wood,2023-05-07,2023,5
"Douglas LLC",2024-02-26,2024,1
"Douglas LLC",2024-08-08,2024,2
"Doyle LLC",2020-02-06,2020,1
"Doyle LLC",2021-01-05,2021,2
"Doyle LLC",2023-02-03,2023,3
"Doyle LLC",2023-10-09,2023,4
"Doyle LLC",2023-12-19,2023,5
"Doyle PLC",2023-03-19,2023,1
"Doyle PLC",2023-08-10,2023,2
"Drake, Moore and Stevenson",2020-03-23,2020,1
"Durham, Peterson and Rosario",2024-02-07,2024,1
"Durham, Peterson and Rosario",2024-03-22,2024,2
"Eaton Ltd",2021-06-09,2021,1
"Eaton Ltd",2022-04-14,2022,2
"Eaton Ltd",2024-01-28,2024,3
"Eaton Ltd",2024-02-15,2024,4
Edwards-Miller,2020-03-31,2020,1
Edwards-Miller,2023-07-06,2023,2
Edwards-Stewart,2019-12-19,2019,1
Edwards-Stewart,2020-02-18,2020,2
Edwards-Stewart,2022-08-29,2022,3
Edwards-Stewart,2023-01-01,2023,4
Edwards-Stewart,2024-07-30,2024,5
"Elliott Group",2019-11-19,2019,1
"Elliott Group",2020-08-26,2020,2
"Elliott Group",2021-08-14,2021,3
"Elliott Group",2024-03-02,2024,4
"Ellis LLC",2021-06-24,2021,1
"Ellis LLC",2021-08-21,2021,2
"Ellis LLC",2021-10-09,2021,3
"Ellis LLC",2021-12-05,2021,4
"Ellis LLC",2024-04-22,2024,5
"Ellis LLC",2024-08-26,2024,6
Ellis-Barker,2020-10-26,2020,1
Ellis-Barker,2022-09-03,2022,2
Ellis-Barker,2022-12-24,2022,3
Ellis-Barker,2023-08-18,2023,4
"Estes and Sons",2020-01-15,2020,1
"Estes and Sons",2020-10-31,2020,2
"Estes and Sons",2021-04-28,2021,3
"Estes and Sons",2023-02-19,2023,4
"Estes and Sons",2024-04-01,2024,5
"Estrada PLC",2022-08-28,2022,1
"Evans LLC",2020-10-23,2020,1
"Evans LLC",2021-01-23,2021,2
Evans-Marshall,2020-03-16,2020,1
Evans-Marshall,2021-06-06,2021,2
Evans-Marshall,2022-02-28,2022,3
Evans-Marshall,2022-09-29,2022,4
Evans-Marshall,2023-09-25,2023,5
"Evans, Hardin and Rodriguez",2020-07-14,2020,1
"Evans, Hardin and Rodriguez",2020-11-27,2020,2
"Evans, Hardin and Rodriguez",2021-05-15,2021,3
"Evans, Hardin and Rodriguez",2021-08-19,2021,4
"Farrell, Schultz and Manning",2021-06-26,2021,1
"Farrell, Schultz and Manning",2024-02-26,2024,2
"Faulkner LLC",2020-03-14,2020,1
"Faulkner LLC",2022-02-15,2022,2
"Faulkner LLC",2024-06-25,2024,3
Fernandez-Peterson,2020-01-18,2020,1
Fernandez-Peterson,2022-08-15,2022,2
Fernandez-Peterson,2023-03-06,2023,3
"Fletcher Ltd",2021-01-16,2021,1
"Fletcher Ltd",2021-12-17,2021,2
"Fletcher Ltd",2022-01-22,2022,3
"Fletcher Ltd",2023-04-17,2023,4
"Fletcher Ltd",2024-07-17,2024,5
"Flores Ltd",2020-05-09,2020,1
Ford-Johnson,2020-01-27,2020,1
Ford-Johnson,2020-02-26,2020,2
Ford-Johnson,2022-01-17,2022,3
Ford-Johnson,2023-03-11,2023,4
"Francis, Willis and Davis",2020-06-14,2020,1
"Francis, Willis and Davis",2020-06-29,2020,2
"Francis, Willis and Davis",2021-02-27,2021,3
Frederick-Wall,2024-02-20,2024,1
"Freeman Group",2020-01-28,2020,1
"Freeman Group",2020-03-23,2020,2
"Freeman Group",2020-05-28,2020,3
"Freeman Group",2024-02-09,2024,4
"Freeman Group",2024-03-03,2024,5
Freeman-Martinez,2020-05-18,2020,1
Freeman-Martinez,2020-05-20,2020,2
Freeman-Martinez,2020-09-25,2020,3
Freeman-Martinez,2020-10-20,2020,4
Freeman-Martinez,2023-09-24,2023,5
"Frey and Sons",2019-11-26,2019,1
"Frey and Sons",2020-12-01,2020,2
"Frey and Sons",2022-05-20,2022,3
"Frey and Sons",2023-04-14,2023,4
"Frey and Sons",2024-09-10,2024,5
"Fuller Group",2020-04-10,2020,1
"Fuller Group",2020-05-12,2020,2
"Fuller Group",2021-03-09,2021,3
"Fuller Group",2021-05-11,2021,4
"Fuller Group",2024-04-28,2024,5
"Fuller Group",2024-05-10,2024,6
"Fuller Group",2024-05-20,2024,7
"Gallagher PLC",2020-04-05,2020,1
"Gallagher PLC",2020-09-13,2020,2
"Gallagher PLC",2021-06-01,2021,3
"Gallagher PLC",2023-04-16,2023,4
"Gallagher PLC",2023-07-07,2023,5
"Gallegos and Sons",2023-01-19,2023,1
"Gallegos and Sons",2023-05-26,2023,2
"Gallegos and Sons",2023-09-09,2023,3
"Gallegos and Sons",2024-07-10,2024,4
"Garcia and Sons",2023-05-26,2023,1
"Garcia and Sons",2024-08-29,2024,2
"Garcia Inc",2020-02-21,2020,1
"Garcia Inc",2020-04-13,2020,2
"Garcia Inc",2022-03-17,2022,3
"Garcia Ltd",2020-09-03,2020,1
"Garcia Ltd",2021-07-05,2021,2
"Garcia Ltd",2022-11-08,2022,3
"Garcia Ltd",2023-11-27,2023,4
Gardner-Young,2021-02-12,2021,1
Gardner-Young,2022-05-26,2022,2
Garrett-Edwards,2019-12-18,2019,1
Garrett-Edwards,2020-01-21,2020,2
Garrett-Edwards,2022-07-26,2022,3
Garrett-Edwards,2023-10-22,2023,4
Garrett-Edwards,2023-12-28,2023,5
Garrett-Page,2021-07-11,2021,1
Garrett-Page,2022-09-24,2022,2
Garrett-Page,2023-11-09,2023,3
"Gentry Inc",2019-11-07,2019,1
"Gentry Inc",2021-01-29,2021,2
"Gentry Inc",2021-07-06,2021,3
"Gentry Inc",2021-07-25,2021,4
"Gentry Inc",2023-08-02,2023,5
"George, Callahan and Ochoa",2019-12-18,2019,1
"George, Callahan and Ochoa",2020-11-23,2020,2
"George, Callahan and Ochoa",2022-01-17,2022,3
"George, Callahan and Ochoa",2022-06-12,2022,4
"George, Callahan and Ochoa",2023-08-01,2023,5
"George, Callahan and Ochoa",2024-08-20,2024,6
"George, Reed and Frazier",2020-08-14,2020,1
"George, Reed and Frazier",2020-12-28,2020,2
"George, Reed and Frazier",2021-02-20,2021,3
"George, Reed and Frazier",2022-03-26,2022,4
"George, Reed and Frazier",2023-04-24,2023,5
"George, Reed and Frazier",2023-06-16,2023,6
"Gibson, Martin and Russell",2020-04-02,2020,1
"Gibson, Martin and Russell",2020-04-21,2020,2
"Gibson, Martin and Russell",2022-04-09,2022,3
"Gilbert and Sons",2022-05-12,2022,1
"Gilbert and Sons",2023-05-09,2023,2
"Gilbert and Sons",2024-07-11,2024,3
"Gilmore, Frazier and Bright",2020-12-05,2020,1
"Gilmore, Frazier and Bright",2022-05-31,2022,2
"Gilmore, Frazier and Bright",2022-09-29,2022,3
"Gilmore, Frazier and Bright",2022-12-28,2022,4
"Gomez LLC",2020-05-29,2020,1
"Gomez LLC",2020-10-15,2020,2
"Gomez LLC",2020-12-02,2020,3
"Gomez LLC",2022-03-03,2022,4
"Gomez LLC",2022-12-07,2022,5
"Gomez LLC",2024-03-16,2024,6
"Gonzalez Ltd",2020-06-17,2020,1
"Gonzalez Ltd",2020-10-25,2020,2
"Gonzalez Ltd",2021-06-01,2021,3
"Gonzalez Ltd",2022-06-12,2022,4
"Gonzalez Ltd",2023-05-12,2023,5
"Gonzalez Ltd",2024-02-10,2024,6
Goodwin-Bishop,2019-11-27,2019,1
Goodwin-Bishop,2020-01-04,2020,2
Goodwin-Bishop,2020-04-21,2020,3
Gregory-Pena,2021-02-08,2021,1
Gregory-Pena,2022-07-05,2022,2
Gregory-Pena,2022-10-15,2022,3
Gregory-Pena,2023-04-10,2023,4
Gregory-Pena,2024-06-17,2024,5
Gregory-Pena,2024-10-08,2024,6
"Gregory, Hensley and Ross",2021-04-06,2021,1
"Gregory, Hensley and Ross",2022-10-10,2022,2
"Gregory, Hensley and Ross",2024-07-22,2024,3
Griffin-Miller,2019-12-22,2019,1
Griffin-Miller,2023-10-09,2023,2
Griffin-Velez,2021-04-17,2021,1
Griffin-Velez,2022-10-30,2022,2
"Guerrero PLC",2023-04-26,2023,1
"Guerrero PLC",2023-07-27,2023,2
"Guerrero, Roberts and Taylor",2019-12-29,2019,1
"Guerrero, Roberts and Taylor",2020-10-02,2020,3
"Guerrero, Roberts and Taylor",2020-10-02,2020,3
"Guerrero, Roberts and Taylor",2023-11-14,2023,4
"Gutierrez, Dunn and Mitchell",2021-03-06,2021,1
"Gutierrez, Dunn and Mitchell",2022-09-03,2022,2
"Gutierrez, Dunn and Mitchell",2023-05-10,2023,3
"Gutierrez, Dunn and Mitchell",2024-03-11,2024,4
"Hall Inc",2021-03-08,2021,1
"Hall Inc",2023-11-11,2023,2
Hall-Burns,2020-05-11,2020,1
Hall-Burns,2020-05-16,2020,2
Hall-Burns,2021-07-07,2021,3
Hall-Burns,2021-09-14,2021,4
Hall-Burns,2022-05-12,2022,5
Hall-Burns,2024-05-02,2024,6
"Hall, Gomez and Diaz",2019-11-29,2019,1
"Hall, Gomez and Diaz",2020-07-14,2020,2
"Hall, Gomez and Diaz",2022-03-13,2022,3
"Hall, Gomez and Diaz",2022-04-02,2022,4
"Hall, Gomez and Diaz",2024-01-25,2024,5
"Hall, Gomez and Diaz",2024-06-06,2024,6
