property_name,lease_length_months,lease_length_years
Hernandez-Hebert,87,7
"Miller Ltd",87,7
Khan-Morales,87,7
"Swanson, Benson and Campbell",87,7
"Rogers and Sons",86,7
"Drake, Moore and Stevenson",86,7
"Cox PLC",86,7
"Boyd, Thompson and Rodriguez",86,7
"Martinez, Small and Cunningham",86,7
"Snyder, Johnson and Clark",86,7
"Gentry Inc",86,7
Spears-Price,86,7
Potter-Davis,86,7
"Horn, Reed and Miller",86,7
"Thomas LLC",86,7
"Norman and Sons",86,7
"Matthews, Rogers and Tran",86,7
"Khan, White and Wall",86,7
Allen-Brown,86,7
"Evans, Hardin and Rodriguez",86,7
"Pierce, Payne and Scott",86,7
Waters-Byrd,86,7
Sanchez-Gibson,86,7
"Brennan and Sons",86,7
"Boyd Ltd",86,7
Montgomery-Douglas,85,7
"Spencer, Zamora and Horton",85,7
"Rogers and Sons",85,7
Smith-Allison,85,7
Murray-Harris,85,7
"Campos Inc",85,7
"Cunningham, Berry and Howard",85,7
Ramirez-Rodriguez,85,7
"Wheeler PLC",85,7
Collins-Mccoy,85,7
"Patterson PLC",85,7
"Myers Ltd",85,7
"Neal PLC",85,7
"Johnson, Weaver and Torres",85,7
"Spence Inc",85,7
Lee-Martinez,85,7
"Anderson, Patel and Stewart",85,7
"Anderson, Patel and Stewart",85,7
"Gilmore, Frazier and Bright",84,7
"Murray Group",84,7
"Rangel and Sons",84,7
"Davies, Mccoy and Cox",84,7
Saunders-Le,84,7
"Rodriguez Inc",84,7
"Rodriguez Inc",84,7
"Underwood PLC",84,7
Rodriguez-Morrow,84,7
"Watson LLC",84,7
"George, Reed and Frazier",84,7
Spears-Price,84,7
"Ruiz, French and Hill",84,7
"Henderson, Townsend and Gordon",84,7
"Lewis Group",84,7
"Burton, Chase and Garcia",84,7
Jones-Villa,84,7
"Christian, Murray and Little",84,7
"Reid Group",84,7
"Carter Ltd",84,7
"White, Holt and Padilla",84,7
"Francis, Willis and Davis",84,7
Cain-Alexander,83,6
Shepherd-Lee,83,6
"Johnson, Harrison and Mcgee",83,6
"Ray, Washington and Cox",83,6
"George, Reed and Frazier",83,6
"George, Callahan and Ochoa",83,6
"Thomas LLC",83,6
"Hendricks Group",83,6
Garrett-Edwards,83,6
"Gomez LLC",83,6
"Costa LLC",83,6
"Cunningham, Berry and Howard",83,6
"Hancock, Pearson and Murphy",83,6
"Campos, Burgess and Webb",83,6
"Salazar, Kennedy and Pierce",83,6
"Barron, Thomas and Arias",83,6
"Williams PLC",82,6
Griffin-Velez,82,6
"Johnson, Powell and Walker",82,6
Peterson-Webb,82,6
"Gentry Inc",82,6
"Burns, Cox and Whitehead",82,6
Rodriguez-Gonzales,82,6
"Campos Inc",82,6
"Gibson, Martin and Russell",82,6
Garrett-Page,82,6
"Watkins Ltd",82,6
"Cunningham Inc",82,6
"Christian, Herring and Garza",82,6
"Chang, West and Fields",82,6
"Reed Ltd",82,6
Sanchez-Gibson,82,6
"Gallagher PLC",82,6
"Myers Ltd",82,6
Carter-Marquez,82,6
Martinez-Reynolds,82,6
Chaney-Jones,82,6
"Mays Ltd",81,6
Martin-Wood,81,6
"Perez, Jones and Patterson",81,6
"Soto, Higgins and Lopez",81,6
"Jackson, Davis and Gill",81,6
"Ruiz, French and Hill",81,6
"Henderson, Townsend and Gordon",81,6
"Robinson Ltd",81,6
"Gomez LLC",81,6
"Petty, Smith and Smith",81,6
"Garcia Ltd",81,6
"Watkins Ltd",81,6
"Roman, Patterson and Barton",81,6
"Hester PLC",81,6
"Knight, Henry and Chandler",81,6
"Townsend LLC",81,6
"Flores Ltd",81,6
"Patterson PLC",81,6
"Jackson, Mckay and Sanchez",81,6
"Anderson, Harrison and Burton",81,6
"Frey and Sons",81,6
Carter-Marquez,81,6
"Rodriguez, Gibson and Thomas",81,6
White-Flores,81,6
"Boyd Ltd",81,6
Montgomery-Douglas,80,6
Mckee-Jensen,80,6
"Branch and Sons",80,6
"Jones, Nelson and Jones",80,6
Stewart-Rojas,80,6
Price-Le,80,6
Jones-Atkins,80,6
"Tate Inc",80,6
"Hendricks Group",80,6
Campbell-Rodriguez,80,6
Craig-Foster,80,6
"Morris and Sons",80,6
"Clark LLC",80,6
"Robertson Ltd",80,6
Roberts-Brooks,80,6
"Johnson, Graham and Wagner",80,6
Patton-Morrison,80,6
"Bryan, Hall and Wise",80,6
"Nguyen, Lewis and Smith",80,6
"Townsend LLC",80,6
"Morris, Gonzalez and Diaz",80,6
"Lee, Juarez and Mason",80,6
Gardner-Young,80,6
"Lopez, Ingram and Hodge",79,6
"Horton and Sons",79,6
Saunders-Le,79,6
Saunders-Cooper,79,6
"Wilson Ltd",79,6
Kelley-Lamb,79,6
"Elliott Group",79,6
"Myers, Mckay and Noble",79,6
"Meza, Gibson and Adams",79,6
Ellis-Barker,79,6
Schneider-Wallace,79,6
"Norton Group",79,6
Evans-Marshall,79,6
"Kelly Inc",79,6
"Waller PLC",79,6
"Anderson, Harrison and Burton",79,6
"Cannon Group",79,6
"Bright and Sons",79,6
"Willis Ltd",79,6
"Martin Group",79,6
Marquez-Cross,78,6
"Mckinney, White and Mason",78,6
Martin-Wood,78,6
Johnson-Beltran,78,6
Ramirez-Edwards,78,6
"Faulkner LLC",78,6
Wagner-Acevedo,78,6
Miller-Smith,78,6
"Watson Group",78,6
Rodriguez-Morrow,78,6
"Ruiz Group",78,6
"Roberts, Brown and Wheeler",78,6
Baker-Sanders,78,6
"Smith Inc",78,6
"Spencer and Sons",78,6
Huber-Johnson,78,6
Walker-Boyle,78,6
"Carpenter, Washington and Ramirez",78,6
Moore-Irwin,78,6
"Watkins Ltd",78,6
"Lopez, Grimes and Roberts",78,6
"Ross, Jenkins and Yates",78,6
"Richards, Rosario and Garcia",77,6
"Lopez Inc",77,6
"Mcpherson Group",77,6
"Hill, Perkins and Fleming",77,6
Aguilar-Thompson,77,6
"Watson LLC",77,6
Davis-Quinn,77,6
"Roberts, Brown and Wheeler",77,6
"Strong, Hale and Key",77,6
Clark-Riggs,77,6
"Gomez LLC",77,6
Larson-Morris,77,6
"Davis Ltd",77,6
"Stuart Group",77,6
"Bentley, Barnes and Martin",77,6
"Moore and Sons",77,6
Jones-Villa,77,6
"Conway Inc",77,6
Nelson-Phillips,77,6
"Ramirez, Ramirez and Jackson",77,6
Cunningham-Floyd,76,6
Stevens-Smith,76,6
"Meyer Group",76,6
"Adkins and Sons",76,6
"Underwood PLC",76,6
"Ray, Washington and Cox",76,6
"Santiago Group",76,6
"Hoffman, Hensley and Martinez",76,6
"Lee, Johnson and Zimmerman",76,6
"Thomas Ltd",76,6
"Meza, Gibson and Adams",76,6
Mckenzie-Odonnell,76,6
Moore-Irwin,76,6
"Mccall, Williams and Mills",76,6
"Mccann, West and Rodriguez",76,6
Edwards-Stewart,76,6
"Andrews, Smith and Mason",76,6
"Brewer, Abbott and Bolton",76,6
"Christian, Murray and Little",76,6
"Harris LLC",76,6
"Johnson, Weaver and Torres",76,6
"Boyd Ltd",76,6
"Ellis LLC",75,6
Smith-Allison,75,6
"Lopez, Ingram and Hodge",75,6
Davis-Wood,75,6
"Lara Group",75,6
"Lara Group",75,6
Hall-Burns,75,6
"Harrison PLC",75,6
"Thompson Group",75,6
"Myers, Mckay and Noble",75,6
"Strong, Hale and Key",75,6
"Brewer, Henry and Ryan",75,6
"Mcpherson, Wilson and Miles",75,6
"Ramirez Inc",75,6
"Peters Inc",75,6
"Norton Group",75,6
"Jackson, Mckay and Sanchez",75,6
"Jimenez, Wolfe and Mcfarland",75,6
"Orozco Ltd",75,6
"Fletcher Ltd",75,6
"Lee LLC",75,6
Wagner-Griffin,75,6
"Kim, Robinson and Browning",75,6
"Mccann, West and Rodriguez",75,6
"Gallagher PLC",75,6
"Cannon Inc",74,6
"House PLC",74,6
"Chavez, Briggs and Perkins",74,6
Stevens-Smith,74,6
Kelley-Lamb,74,6
"Thompson Group",74,6
"Anderson LLC",74,6
Potter-Davis,74,6
"Gibson, Martin and Russell",74,6
"Rogers, Peters and Brewer",74,6
Sanchez-Hunter,74,6
"Parrish Inc",74,6
"Jackson, Mckay and Sanchez",74,6
Adams-Whitehead,74,6
"Miller Ltd",74,6
"Mccann, West and Rodriguez",74,6
Edwards-Stewart,74,6
"Cannon Group",74,6
Patton-Morrison,74,6
"Ortega Inc",74,6
"Lewis Inc",74,6
"Rogers and Sons",73,6
Hunt-Bender,73,6
"Mcpherson Group",73,6
Stewart-Rojas,73,6
Miller-Smith,73,6
Spears-Cooper,73,6
"Tate Inc",73,6
"Jackson Inc",73,6
Baker-Sanders,73,6
"Sharp, Payne and Solis",73,6
"Costa LLC",73,6
"Hancock, Pearson and Murphy",73,6
"Vasquez, Blackwell and Pierce",73,6
"Matthews, Rogers and Tran",73,6
"Burns, Castro and Mora",73,6
Cline-Hill,73,6
Phillips-Smith,73,6
Brown-Riley,73,6
"Myers Ltd",73,6
"Ryan, Williams and Clay",73,6
"Ross, Jenkins and Yates",73,6
"Conway Inc",73,6
Obrien-Wood,73,6
"Lopez, Ingram and Hodge",72,6
"Branch and Sons",72,6
Owen-Kim,72,6
"Adams, May and Oneill",72,6
"Adams, May and Oneill",72,6
Brown-Smith,72,6
"Rodriguez Inc",72,6
"Doyle LLC",72,6
"Cooper Group",72,6
"Hickman and Sons",72,6
Kelley-Lamb,72,6
Cruz-Green,72,6
Davis-Quinn,72,6
Davis-Quinn,72,6
"Jackson, Davis and Gill",72,6
"Mccullough, Stewart and Mora",72,6
Ward-Brown,72,6
"Walker, Marsh and Moore",72,6
Moore-Irwin,72,6
Moore-Irwin,72,6
"Knight, Henry and Chandler",72,6
"Andrews, Smith and Mason",72,6
Robertson-Brown,72,6
Robertson-Brown,72,6
"Walker Inc",72,6
"Bryan, Hall and Wise",72,6
"Willis Ltd",72,6
Ibarra-Booker,72,6
"Williams, Newman and Williamson",72,6
"Lee, Juarez and Mason",72,6
"Austin, Cross and Mclean",72,6
Ryan-Adams,72,6
"Ramirez, Ramirez and Jackson",72,6
"Rogers and Sons",71,5
Gregory-Pena,71,5
"Hill, Gonzales and Hansen",71,5
"Cannon Inc",71,5
Martin-Wood,71,5
"Perez Inc",71,5
Shepherd-Lee,71,5
"Rogers and Sons",71,5
Bennett-Benson,71,5
Brown-Smith,71,5
"Hogan Group",71,5
"Hogan Group",71,5
Kelley-Lamb,71,5
"Ruiz, French and Hill",71,5
"Lee, Johnson and Zimmerman",71,5
"Martin PLC",71,5
"Thomas Ltd",71,5
"Garcia Ltd",71,5
"Perez, Fernandez and Wong",71,5
Walters-Jones,71,5
Evans-Marshall,71,5
Peters-Brown,71,5
Hernandez-Ballard,71,5
"Orozco Ltd",71,5
Allen-Brown,71,5
"Kelly Inc",71,5
"Waller PLC",71,5
Waters-Byrd,71,5
"Smith, Wise and Nelson",71,5
"Lewis Inc",71,5
"Blevins PLC",71,5
"Ruiz, Powell and Jenkins",70,5
Miranda-Ruiz,70,5
Johnson-Beltran,70,5
"Lopez Inc",70,5
"Stewart Ltd",70,5
"Meyer Group",70,5
"Rodriguez Inc",70,5
Lopez-Rodriguez,70,5
"Richmond Ltd",70,5
Contreras-Delgado,70,5
"White LLC",70,5
"Santiago Group",70,5
Nielsen-Peterson,70,5
Yoder-Rowe,70,5
"Barr and Sons",70,5
"Myers, Mckay and Noble",70,5
"Anderson LLC",70,5
Adams-Knight,70,5
Garrett-Page,70,5
Mckenzie-Odonnell,70,5
"Casey and Sons",70,5
"Oliver Ltd",70,5
"Roman, Patterson and Barton",70,5
"Norton Group",70,5
Mack-Doyle,70,5
"Carter Ltd",70,5
"Johnson, Graham and Wagner",70,5
"Francis, Willis and Davis",70,5
"Nelson LLC",70,5
"Lee Ltd",69,5
"Perkins Group",69,5
"Brandt, Cain and Simon",69,5
"Lopez Inc",69,5
Coleman-Hayes,69,5
Griffin-Velez,69,5
"Cox PLC",69,5
Harvey-Scott,69,5
Hall-Burns,69,5
"Rodriguez Inc",69,5
"Gilbert and Sons",69,5
"Warren and Sons",69,5
Contreras-Delgado,69,5
"York PLC",69,5
Fernandez-Peterson,69,5
"Estes and Sons",69,5
Weber-Gibson,69,5
"Smith LLC",69,5
"Brewer, Henry and Ryan",69,5
Murray-Harris,69,5
Murray-Harris,69,5
Blevins-Nguyen,69,5
"Bradley Inc",69,5
Adams-Knight,69,5
"Mann Group",69,5
Sanchez-Alexander,69,5
Williams-Stewart,69,5
"Vasquez, Blackwell and Pierce",69,5
"Stevens PLC",69,5
Schneider-Wallace,69,5
Craig-Foster,69,5
Evans-Marshall,69,5
"Bowen, Garza and Scott",69,5
"Smith Group",69,5
"Evans, Hardin and Rodriguez",69,5
Cline-Hill,69,5
Alvarez-Wilson,69,5
"Bright and Sons",69,5
"Brennan and Sons",69,5
"Brennan and Sons",69,5
"Choi Inc",69,5
Lee-Martinez,69,5
"Martin Group",69,5
Marquez-Cross,68,5
"Mckinney, White and Mason",68,5
"Richards, Rosario and Garcia",68,5
"Anderson Group",68,5
"Cooper Group",68,5
"Underwood PLC",68,5
"Hernandez, Jackson and Nguyen",68,5
"Jackson Inc",68,5
Potter-Davis,68,5
"Martin, Richardson and Johnson",68,5
"Spencer and Sons",68,5
"Wheeler PLC",68,5
Ross-Foster,68,5
Barron-Mcgee,68,5
Rios-Sexton,68,5
"Jones Inc",68,5
"Perkins, Kramer and Gray",68,5
Patton-Morrison,68,5
Mitchell-Novak,68,5
Scott-Jensen,67,5
Ford-Johnson,67,5
"Moore PLC",67,5
Marquez-Cross,67,5
"Ellis LLC",67,5
"Rangel and Sons",67,5
"Brandt, Cain and Simon",67,5
"Stewart Ltd",67,5
"Lynn PLC",67,5
Fernandez-Peterson,67,5
"Mccullough, Stewart and Mora",67,5
"Adkins LLC",67,5
"George, Callahan and Ochoa",67,5
"Thomas, Atkinson and Lopez",67,5
"Higgins Group",67,5
Larson-Morris,67,5
"Stevens PLC",67,5
"Schmitt Ltd",67,5
"Anderson Inc",67,5
"Villarreal and Sons",67,5
"Lee LLC",67,5
"Anderson, Harrison and Burton",67,5
"Cannon Group",67,5
"Martinez Inc",67,5
"Willis Ltd",67,5
"Rodriguez, Gibson and Thomas",67,5
"Williams PLC",66,5
"Gilmore, Frazier and Bright",66,5
Martin-Wood,66,5
"Perkins Group",66,5
"Lopez Inc",66,5
Coleman-Hayes,66,5
"Stewart Ltd",66,5
"Soto, Higgins and Lopez",66,5
Roman-Foster,66,5
"Thomas LLC",66,5
Molina-Thompson,66,5
"Gibson, Martin and Russell",66,5
"Howard Inc",66,5
"Watkins Ltd",66,5
"Chan, Davenport and Mccoy",66,5
"Townsend LLC",66,5
White-Robinson,66,5
"Burns, Castro and Mora",66,5
Alvarez-Wilson,66,5
"Myers Ltd",66,5
"White, Holt and Padilla",66,5
"White, Holt and Padilla",66,5
Ford-Johnson,65,5
"Moore PLC",65,5
"Rogers and Sons",65,5
"Jones, Nelson and Jones",65,5
Martinez-Phillips,65,5
"Ruiz Group",65,5
"Wilson, Davenport and Wyatt",65,5
Yoder-Rowe,65,5
"Andersen, Montgomery and White",65,5
Clark-Riggs,65,5
Campbell-Rodriguez,65,5
"Petty, Smith and Smith",65,5
Sanchez-Hunter,65,5
"Rivas LLC",65,5
Williams-Stewart,65,5
"Patterson PLC",65,5
"Perkins, Kramer and Gray",65,5
Patton-Morrison,65,5
"Reed Ltd",65,5
"Townsend LLC",65,5
"Choi Inc",65,5
"Tapia, Harris and Mccann",64,5
Shepherd-Lee,64,5
"Johnson, Powell and Walker",64,5
"Richmond Ltd",64,5
"Smith LLC",64,5
"Doyle LLC",64,5
"Boyd, Thompson and Rodriguez",64,5
"Martinez, Small and Cunningham",64,5
"Adkins and Sons",64,5
"White LLC",64,5
"Myers, Mckay and Noble",64,5
"Garcia Inc",64,5
Garrett-Edwards,64,5
Campbell-Rodriguez,64,5
"Higgins Group",64,5
Patel-Waters,64,5
"Roman, Patterson and Barton",64,5
White-Robinson,64,5
Hernandez-Ballard,64,5
"Miller Ltd",64,5
"Arnold, Lam and Case",64,5
"Kelly Inc",64,5
Wagner-Griffin,64,5
"Perkins, Kramer and Gray",64,5
Byrd-Rodriguez,64,5
"Smith, Wise and Nelson",64,5
"Ortega Inc",64,5
"Martinez Inc",64,5
"Huang, Clark and Foster",64,5
"Huang, Clark and Foster",64,5
"Alexander, Gordon and Cox",64,5
"Vasquez, Willis and Little",64,5
"Anderson, Patel and Stewart",64,5
Montgomery-Douglas,63,5
"Miles, Hill and Bell",63,5
"Parks, Garcia and Walker",63,5
"Rodriguez Inc",63,5
"Gilbert and Sons",63,5
"Richmond Ltd",63,5
"Tate Inc",63,5
Davis-Quinn,63,5
"Jackson, Davis and Gill",63,5
"Sharp, Payne and Solis",63,5
"Hendricks Group",63,5
"Martin, Richardson and Johnson",63,5
"Cunningham, Berry and Howard",63,5
"Peters Inc",63,5
Sanchez-Hunter,63,5
Moore-Irwin,63,5
"Salazar, Kennedy and Pierce",63,5
Cooper-Michael,63,5
"Patterson PLC",63,5
"Mason, Roberts and Smith",63,5
"Cannon Group",63,5
Mack-Doyle,63,5
Patton-Morrison,63,5
"Williams LLC",63,5
"Wood, Proctor and Johnson",63,5
"Walker Inc",63,5
"Willis Ltd",63,5
"Willis Ltd",63,5
"Austin, Cross and Mclean",63,5
"Martin Group",63,5
"Ruiz, Powell and Jenkins",62,5
"Rangel and Sons",62,5
Hernandez-Sanders,62,5
Stewart-Rojas,62,5
"Salazar PLC",62,5
Kelley-Lamb,62,5
"Thompson Group",62,5
"Jackson Inc",62,5
Murray-Harris,62,5
"Andersen, Montgomery and White",62,5
Molina-Thompson,62,5
"Smith Inc",62,5
"Thompson, Silva and Odom",62,5
Larson-Morris,62,5
"Howard Inc",62,5
"Lewis LLC",62,5
"Parrish Inc",62,5
"Chan, Davenport and Mccoy",62,5
"Allen Ltd",62,5
"Patterson PLC",62,5
Peters-Brown,62,5
Hernandez-Hebert,62,5
Reeves-Blair,62,5
"Landry LLC",62,5
"Lee LLC",62,5
"Robertson Ltd",62,5
"Barron, Thomas and Arias",62,5
"Carter Ltd",62,5
