log_id,property_id,maintenance_type,maintenance_date,cost
ML00073,P0227,Plumbing,2023-09-07,2017
ML00074,P0141,Plumbing,2023-07-25,2955
ML00075,P0342,Electrical,2023-05-11,291
ML00076,P0396,Electrical,2022-11-02,3157
ML00077,P0206,Cleaning,2024-06-27,4668
ML00078,P0249,Electrical,2024-06-01,2238
ML00079,P0278,Cleaning,2023-06-26,4475
ML00080,P0487,Structural,2023-10-28,1727
ML00081,P0102,Structural,2023-12-07,4556
ML00082,P0008,Plumbing,2024-10-25,4236
ML00083,P0063,Electrical,2024-08-07,2265
ML00084,P0119,Electrical,2022-12-12,3333
ML00085,P0053,Cleaning,2022-12-14,3828
ML00086,P0175,Plumbing,2022-12-28,649
ML00087,P0245,Cleaning,2023-10-02,2660
ML00088,P0382,Cleaning,2024-10-01,2120
ML00089,P0187,Plumbing,2023-09-12,4610
ML00090,P0463,Plumbing,2023-12-05,4512
ML00091,P0013,Plumbing,2023-10-23,779
ML00092,P0111,Plumbing,2023-12-10,1563
ML00093,P0231,Electrical,2024-03-28,3001
ML00094,P0451,Plumbing,2023-08-10,3677
ML00095,P0435,Plumbing,2024-02-15,2471
ML00096,P0029,Plumbing,2023-06-06,910
ML00097,P0154,Structural,2024-05-17,1396
ML00098,P0085,Structural,2024-09-28,773
ML00099,P0187,Structural,2023-05-17,2069
ML00100,P0414,Electrical,2024-06-11,3505
ML00101,P0042,Cleaning,2023-08-29,1969
ML00102,P0057,Cleaning,2023-01-31,714
ML00103,P0020,Plumbing,2024-06-08,3436
ML00104,P0452,Electrical,2024-09-01,776
ML00105,P0161,Cleaning,2024-09-24,1922
ML00106,P0370,Electrical,2023-06-03,4476
ML00107,P0075,Cleaning,2024-10-08,2728
ML00108,P0309,Structural,2023-10-10,1170
ML00109,P0229,Electrical,2023-03-06,4939
ML00110,P0424,Plumbing,2024-08-28,2279
ML00111,P0436,Electrical,2023-10-03,556
ML00112,P0232,Cleaning,2023-02-13,655
ML00113,P0220,Cleaning,2024-04-23,1979
ML00114,P0356,Plumbing,2023-04-26,3864
ML00115,P0160,Electrical,2023-11-16,4220
ML00116,P0268,Plumbing,2024-07-23,2972
ML00117,P0432,Structural,2024-02-26,1773
ML00118,P0314,Electrical,2024-09-13,4911
ML00119,P0117,Plumbing,2023-09-25,4952
ML00120,P0244,Cleaning,2024-07-24,4465
ML00121,P0205,Electrical,2023-09-08,3278
ML00122,P0024,Electrical,2022-12-09,721
ML00123,P0031,Structural,2022-10-29,929
ML00124,P0100,Structural,2023-12-24,4122
ML00125,P0482,Cleaning,2023-04-18,1651
ML00126,P0264,Electrical,2022-11-17,2279
ML00127,P0289,Electrical,2023-12-20,411
ML00128,P0086,Cleaning,2024-10-20,119
ML00129,P0148,Cleaning,2023-07-03,2459
ML00130,P0056,Electrical,2024-07-14,1156
ML00131,P0446,Cleaning,2023-12-31,4672
ML00132,P0047,Cleaning,2024-08-07,3666
ML00133,P0152,Cleaning,2022-12-12,1665
ML00134,P0109,Structural,2022-12-05,3814
ML00135,P0120,Cleaning,2023-11-11,1338
ML00136,P0118,Cleaning,2024-09-17,3437
ML00137,P0099,Cleaning,2023-10-02,845
ML00138,P0360,Electrical,2023-10-06,3968
ML00139,P0233,Structural,2023-07-28,648
ML00140,P0436,Electrical,2023-09-25,518
ML00141,P0331,Structural,2023-03-29,2880
ML00142,P0321,Structural,2023-05-05,4022
ML00143,P0302,Cleaning,2024-09-27,420
ML00144,P0352,Structural,2023-02-18,511
ML00145,P0203,Structural,2022-11-21,4993
ML00146,P0355,Electrical,2023-09-01,1473
ML00147,P0308,Structural,2023-10-27,4167
ML00148,P0130,Plumbing,2023-03-12,2592
ML00149,P0064,Structural,2023-08-05,1106
ML00150,P0347,Plumbing,2023-08-07,3368
ML00151,P0377,Cleaning,2022-11-29,4042
ML00152,P0182,Plumbing,2023-11-17,3542
ML00153,P0246,Electrical,2023-06-10,4580
ML00154,P0164,Electrical,2024-06-04,4410
ML00155,P0269,Cleaning,2023-10-23,4785
ML00156,P0345,Plumbing,2023-08-11,747
ML00157,P0190,Electrical,2023-05-16,741
ML00158,P0487,Electrical,2023-01-08,1706
ML00159,P0162,Plumbing,2023-07-28,232
ML00160,P0216,Cleaning,2023-04-19,665
ML00161,P0024,Electrical,2024-05-14,1167
ML00162,P0390,Cleaning,2024-10-14,980
ML00163,P0197,Cleaning,2024-09-07,1358
ML00164,P0145,Plumbing,2023-12-03,968
ML00165,P0334,Structural,2023-11-14,4019
ML00166,P0149,Electrical,2023-10-01,3122
ML00167,P0010,Plumbing,2024-10-12,3523
ML00168,P0399,Cleaning,2024-05-07,3160
ML00169,P0271,Cleaning,2024-08-10,1391
ML00170,P0381,Electrical,2023-09-05,3210
ML00171,P0410,Plumbing,2024-05-21,2150
ML00172,P0310,Electrical,2024-03-28,4882
ML00173,P0214,Cleaning,2023-01-28,1832
ML00174,P0109,Plumbing,2023-09-06,4933
ML00175,P0177,Structural,2023-01-13,1464
ML00176,P0269,Structural,2023-12-10,1684
ML00177,P0256,Cleaning,2023-09-18,3133
ML00178,P0159,Plumbing,2023-08-08,2652
ML00179,P0394,Electrical,2023-04-17,356
ML00180,P0352,Plumbing,2023-01-21,2947
ML00181,P0402,Cleaning,2024-09-06,3077
ML00182,P0212,Cleaning,2023-01-12,2610
ML00183,P0029,Structural,2023-07-30,3113
ML00184,P0093,Electrical,2023-08-06,1346
ML00185,P0077,Structural,2023-04-09,111
ML00186,P0345,Electrical,2022-11-02,851
ML00187,P0297,Plumbing,2023-01-23,3785
ML00188,P0443,Electrical,2023-11-14,233
ML00189,P0313,Cleaning,2024-09-23,3901
ML00190,P0368,Cleaning,2023-02-08,4712
ML00191,P0190,Cleaning,2024-05-19,3252
ML00192,P0230,Structural,2024-08-23,559
ML00193,P0076,Structural,2023-02-12,1727
ML00194,P0129,Cleaning,2023-06-10,3292
ML00195,P0337,Cleaning,2023-07-31,2300
ML00196,P0212,Cleaning,2023-10-07,108
ML00197,P0082,Plumbing,2024-02-18,4126
ML00198,P0220,Structural,2024-01-15,803
ML00199,P0489,Cleaning,2023-04-10,1518
ML00200,P0426,Plumbing,2024-02-12,2734
ML00201,P0204,Plumbing,2023-05-07,3790
ML00202,P0055,Structural,2023-06-06,4731
ML00203,P0281,Structural,2023-09-25,3240
ML00204,P0215,Cleaning,2024-08-11,4662
ML00205,P0472,Electrical,2022-11-29,3702
ML00206,P0349,Electrical,2023-01-08,3442
ML00207,P0397,Cleaning,2023-04-22,885
ML00208,P0093,Structural,2024-03-02,1045
ML00209,P0443,Plumbing,2023-10-15,551
ML00210,P0377,Plumbing,2024-08-01,2735
ML00211,P0237,Cleaning,2023-02-22,2991
ML00212,P0015,Cleaning,2024-07-11,2665
ML00213,P0010,Plumbing,2023-08-26,3527
ML00214,P0186,Electrical,2023-11-20,713
ML00215,P0285,Electrical,2023-11-30,2742
ML00216,P0152,Electrical,2023-10-23,2883
ML00217,P0450,Structural,2024-03-10,575
ML00218,P0147,Electrical,2023-06-05,1930
ML00219,P0032,Structural,2024-06-25,3140
ML00220,P0235,Structural,2024-10-09,4562
ML00221,P0217,Plumbing,2024-06-13,4666
ML00222,P0082,Structural,2024-02-24,2853
ML00223,P0484,Cleaning,2022-11-07,1844
ML00224,P0394,Structural,2022-11-25,4500
ML00225,P0489,Electrical,2023-10-01,3758
ML00226,P0302,Cleaning,2023-06-14,2116
ML00227,P0207,Electrical,2022-12-26,1781
ML00228,P0411,Cleaning,2024-04-13,3913
ML00229,P0180,Electrical,2023-05-26,4518
ML00230,P0432,Plumbing,2024-07-19,3001
ML00231,P0079,Plumbing,2023-01-17,1577
ML00232,P0096,Structural,2023-03-07,2010
ML00233,P0106,Plumbing,2023-01-01,4498
ML00234,P0129,Cleaning,2024-02-01,1885
ML00235,P0335,Cleaning,2023-11-30,3611
ML00236,P0042,Structural,2023-09-14,2932
ML00237,P0128,Plumbing,2023-10-15,1937
ML00238,P0480,Plumbing,2023-09-23,102
ML00239,P0294,Plumbing,2023-07-03,2754
ML00240,P0399,Cleaning,2023-11-30,2027
ML00241,P0381,Cleaning,2022-11-17,4551
ML00242,P0494,Cleaning,2023-04-30,3374
ML00243,P0303,Electrical,2024-05-30,2704
ML00244,P0358,Cleaning,2024-06-17,1014
ML00245,P0336,Electrical,2023-08-20,150
ML00246,P0431,Electrical,2023-08-09,2989
ML00247,P0131,Cleaning,2024-04-27,4288
ML00248,P0419,Electrical,2024-01-21,1082
ML00249,P0458,Cleaning,2022-12-05,4153
ML00250,P0098,Cleaning,2024-01-10,4058
ML00251,P0188,Cleaning,2023-02-03,4762
ML00252,P0396,Structural,2024-08-14,2262
ML00253,P0317,Cleaning,2024-09-12,540
ML00254,P0222,Electrical,2024-02-20,515
ML00255,P0452,Plumbing,2024-04-01,3182
ML00256,P0142,Cleaning,2024-08-24,823
ML00257,P0032,Cleaning,2024-08-01,2498
ML00258,P0299,Structural,2024-01-21,2712
ML00259,P0348,Electrical,2023-04-16,3200
ML00260,P0123,Cleaning,2024-03-11,382
ML00261,P0137,Structural,2024-02-12,1940
ML00262,P0210,Cleaning,2024-08-22,1186
ML00263,P0254,Electrical,2024-04-17,4881
ML00264,P0469,Electrical,2024-01-20,4324
ML00265,P0269,Structural,2023-11-21,2352
ML00266,P0310,Plumbing,2024-07-22,4262
ML00267,P0091,Cleaning,2023-08-07,2240
ML00268,P0463,Electrical,2024-02-28,2654
ML00269,P0385,Plumbing,2023-11-14,2468
ML00270,P0224,Structural,2023-08-06,3938
ML00271,P0196,Plumbing,2023-03-02,2780
ML00272,P0408,Cleaning,2023-09-27,2537
ML00273,P0367,Structural,2023-10-20,3339
ML00274,P0463,Cleaning,2024-01-04,4605
ML00275,P0478,Cleaning,2023-08-27,3659
ML00276,P0199,Plumbing,2023-02-07,4631
ML00277,P0205,Plumbing,2024-09-21,3410
ML00278,P0443,Structural,2024-06-25,4822
ML00279,P0320,Cleaning,2024-01-07,2227
ML00280,P0021,Electrical,2022-11-20,3524
ML00281,P0061,Plumbing,2024-01-03,1748
ML00282,P0081,Electrical,2022-12-02,248
ML00283,P0391,Plumbing,2023-02-21,3631
ML00284,P0421,Cleaning,2022-12-30,645
ML00285,P0468,Cleaning,2023-03-31,4593
ML00286,P0122,Plumbing,2023-04-04,4990
ML00287,P0473,Plumbing,2023-04-12,427
ML00288,P0360,Structural,2024-09-27,4030
ML00289,P0347,Electrical,2024-01-14,569
ML00290,P0498,Plumbing,2023-02-06,464
ML00291,P0373,Plumbing,2023-03-13,3976
ML00292,P0083,Electrical,2024-07-29,3024
ML00293,P0227,Plumbing,2024-09-04,3415
ML00294,P0137,Cleaning,2024-03-26,3969
ML00295,P0285,Cleaning,2023-07-18,326
ML00296,P0324,Cleaning,2024-02-08,1887
ML00297,P0238,Electrical,2023-10-26,4904
ML00298,P0037,Electrical,2024-07-15,4345
ML00299,P0196,Electrical,2023-10-24,2211
ML00300,P0255,Structural,2024-07-02,3138
ML00301,P0473,Plumbing,2023-06-27,2612
ML00302,P0147,Electrical,2023-12-08,4576
ML00303,P0498,Plumbing,2024-06-28,4528
ML00304,P0463,Cleaning,2024-10-05,3428
ML00305,P0453,Plumbing,2024-01-02,2811
ML00306,P0038,Cleaning,2023-09-22,3645
ML00307,P0057,Plumbing,2023-05-09,2554
ML00308,P0081,Cleaning,2022-10-29,1426
ML00309,P0479,Plumbing,2022-12-06,973
ML00310,P0358,Plumbing,2023-01-13,1248
ML00311,P0351,Electrical,2024-08-06,1719
ML00312,P0300,Structural,2024-08-08,3228
ML00313,P0471,Electrical,2023-06-10,1538
ML00314,P0488,Structural,2024-06-28,2836
ML00315,P0363,Electrical,2023-02-22,4283
ML00316,P0499,Structural,2023-07-12,4583
ML00317,P0090,Electrical,2024-06-10,4574
ML00318,P0008,Cleaning,2022-11-17,2170
ML00319,P0026,Structural,2024-05-01,4684
ML00320,P0021,Cleaning,2023-11-03,4751
ML00321,P0199,Electrical,2024-02-17,4938
ML00322,P0467,Electrical,2024-06-08,3029
ML00323,P0264,Cleaning,2024-06-20,2940
ML00324,P0254,Plumbing,2024-04-25,3570
ML00325,P0198,Plumbing,2023-05-28,1015
ML00326,P0368,Structural,2023-10-24,1595
ML00327,P0309,Cleaning,2024-01-05,1263
ML00328,P0257,Plumbing,2022-11-15,2242
ML00329,P0343,Cleaning,2023-12-30,4521
ML00330,P0168,Plumbing,2024-08-19,3612
ML00331,P0130,Electrical,2023-08-25,848
ML00332,P0348,Structural,2023-10-24,1505
ML00333,P0172,Plumbing,2023-12-24,4151
ML00334,P0169,Cleaning,2024-06-18,2691
ML00335,P0473,Cleaning,2024-08-04,920
ML00336,P0243,Plumbing,2023-10-25,2027
ML00337,P0318,Electrical,2023-04-06,1145
ML00338,P0455,Electrical,2023-10-27,222
ML00339,P0166,Electrical,2024-08-07,2139
ML00340,P0356,Electrical,2024-09-02,1330
ML00341,P0164,Plumbing,2023-09-29,4541
ML00342,P0021,Plumbing,2024-09-13,2261
ML00343,P0239,Electrical,2023-01-29,3138
ML00344,P0094,Structural,2023-05-26,1904
ML00345,P0235,Cleaning,2024-05-11,2165
ML00346,P0229,Structural,2024-01-10,317
ML00347,P0272,Structural,2024-03-10,1557
ML00348,P0024,Structural,2024-03-20,806
ML00349,P0041,Electrical,2024-09-17,477
ML00350,P0482,Plumbing,2024-10-21,478
ML00351,P0105,Structural,2024-03-26,3553
ML00352,P0063,Cleaning,2023-11-19,2445
ML00353,P0456,Cleaning,2023-05-21,552
ML00354,P0235,Structural,2024-06-13,107
ML00355,P0289,Plumbing,2022-11-27,3236
ML00356,P0442,Plumbing,2023-04-04,1102
ML00357,P0218,Electrical,2023-01-04,4904
ML00358,P0127,Structural,2024-10-01,2766
ML00359,P0258,Electrical,2024-09-03,2839
ML00360,P0164,Cleaning,2024-08-15,1114
ML00361,P0285,Plumbing,2024-08-21,533
ML00362,P0028,Electrical,2024-04-22,2600
ML00363,P0142,Electrical,2023-09-16,2123
ML00364,P0451,Electrical,2023-05-14,1735
ML00365,P0436,Structural,2024-08-23,4387
ML00366,P0194,Structural,2024-05-31,1329
ML00367,P0264,Cleaning,2024-04-22,220
ML00368,P0131,Structural,2024-04-10,1205
ML00369,P0247,Structural,2023-04-26,4277
ML00370,P0166,Plumbing,2024-03-25,208
ML00371,P0385,Plumbing,2023-04-20,1774
ML00372,P0492,Plumbing,2023-05-14,1218
ML00373,P0142,Cleaning,2022-12-29,3861
ML00374,P0214,Plumbing,2023-08-29,901
ML00375,P0234,Structural,2024-08-31,958
ML00376,P0493,Structural,2023-12-01,2793
ML00377,P0352,Plumbing,2023-12-14,4558
ML00378,P0477,Plumbing,2024-10-22,2993
ML00379,P0198,Electrical,2023-01-26,3639
ML00380,P0021,Electrical,2024-10-22,3466
ML00381,P0467,Plumbing,2024-01-11,2254
ML00382,P0358,Electrical,2024-10-24,730
ML00383,P0152,Electrical,2024-10-19,837
ML00384,P0293,Plumbing,2023-05-03,2311
ML00385,P0332,Structural,2024-08-07,2759
ML00386,P0130,Structural,2023-06-26,383
ML00387,P0333,Plumbing,2022-11-01,1901
ML00388,P0334,Electrical,2023-04-27,383
ML00389,P0497,Cleaning,2024-09-13,4064
ML00390,P0271,Electrical,2023-12-19,3945
ML00391,P0470,Cleaning,2023-07-01,3343
ML00392,P0467,Cleaning,2024-03-05,2676
ML00393,P0020,Plumbing,2023-10-13,1221
ML00394,P0368,Structural,2023-01-15,3775
ML00395,P0311,Cleaning,2022-11-11,1262
ML00396,P0051,Structural,2024-02-09,1966
ML00397,P0191,Plumbing,2024-01-18,4706
ML00398,P0456,Structural,2023-08-30,1663
ML00399,P0448,Structural,2023-10-08,2031
ML00400,P0123,Electrical,2023-01-27,3694
ML00401,P0198,Structural,2022-11-17,3774
ML00402,P0209,Structural,2023-10-03,2646
ML00403,P0433,Cleaning,2023-08-12,3088
ML00404,P0171,Plumbing,2024-02-10,4298
ML00405,P0163,Plumbing,2024-05-28,4477
ML00406,P0219,Structural,2024-08-04,1479
ML00407,P0356,Plumbing,2022-11-11,3519
ML00408,P0097,Electrical,2023-10-10,1244
ML00409,P0191,Cleaning,2023-02-05,304
ML00410,P0257,Plumbing,2023-04-11,1464
ML00411,P0285,Cleaning,2023-10-12,3060
ML00412,P0187,Electrical,2023-11-30,4591
ML00413,P0496,Electrical,2024-01-06,4724
ML00414,P0019,Cleaning,2024-01-08,1725
ML00415,P0158,Plumbing,2023-10-29,2473
ML00416,P0059,Cleaning,2023-03-09,1923
ML00417,P0268,Cleaning,2023-08-18,1307
ML00418,P0207,Electrical,2023-02-16,1686
ML00419,P0387,Electrical,2023-01-19,2770
ML00420,P0302,Structural,2024-07-26,3612
ML00421,P0171,Plumbing,2022-12-17,4682
ML00422,P0158,Structural,2024-05-07,4076
ML00423,P0099,Cleaning,2023-07-18,3666
ML00424,P0349,Cleaning,2024-08-02,4190
ML00425,P0303,Electrical,2023-08-31,587
ML00426,P0469,Electrical,2023-03-21,4183
ML00427,P0453,Plumbing,2024-07-20,3953
ML00428,P0433,Structural,2024-06-16,4376
ML00429,P0128,Plumbing,2023-08-24,2139
ML00430,P0456,Plumbing,2024-02-16,4012
ML00431,P0271,Structural,2023-12-09,3088
ML00432,P0474,Cleaning,2024-01-19,1135
ML00433,P0489,Cleaning,2023-03-16,3861
ML00434,P0450,Plumbing,2024-02-24,1411
ML00435,P0165,Electrical,2024-06-17,3738
ML00436,P0245,Cleaning,2023-11-11,4239
ML00437,P0008,Plumbing,2023-12-11,4096
ML00438,P0318,Plumbing,2023-06-01,2757
ML00439,P0395,Cleaning,2023-03-16,4751
ML00440,P0443,Plumbing,2024-03-08,1398
ML00441,P0179,Structural,2023-10-08,1334
ML00442,P0036,Structural,2023-07-22,3824
ML00443,P0421,Structural,2023-10-03,513
ML00444,P0133,Electrical,2023-04-29,996
ML00445,P0455,Structural,2023-03-14,1372
ML00446,P0341,Plumbing,2023-08-27,3258
ML00447,P0164,Structural,2023-05-16,4380
ML00448,P0347,Plumbing,2023-07-11,1904
ML00449,P0419,Electrical,2023-03-07,793
ML00450,P0165,Cleaning,2024-04-14,4439
ML00451,P0154,Structural,2022-12-11,1911
ML00452,P0121,Structural,2024-02-19,387
ML00453,P0126,Cleaning,2024-06-26,973
ML00454,P0500,Structural,2023-12-05,156
ML00455,P0241,Cleaning,2023-10-14,4988
ML00456,P0268,Electrical,2023-01-22,1508
ML00457,P0043,Cleaning,2024-03-21,758
ML00458,P0386,Plumbing,2023-11-07,706
ML00459,P0183,Electrical,2024-04-18,2206
ML00460,P0289,Cleaning,2023-11-25,3722
ML00461,P0406,Plumbing,2024-08-19,961
ML00462,P0470,Cleaning,2024-08-03,1444
ML00463,P0116,Cleaning,2024-08-28,3174
ML00464,P0477,Electrical,2023-09-24,2137
ML00465,P0135,Cleaning,2024-08-13,3524
ML00466,P0135,Electrical,2022-11-22,3585
ML00467,P0276,Plumbing,2023-06-12,4155
ML00468,P0383,Plumbing,2024-08-14,3910
ML00469,P0049,Electrical,2024-10-11,682
ML00470,P0284,Cleaning,2023-02-03,1552
ML00471,P0180,Plumbing,2023-01-09,2739
ML00472,P0397,Structural,2024-07-23,1030
ML00473,P0001,Structural,2022-11-21,4737
ML00474,P0463,Cleaning,2024-02-20,4224
ML00475,P0044,Plumbing,2023-02-02,4720
ML00476,P0036,Cleaning,2024-06-27,162
ML00477,P0321,Cleaning,2024-08-06,1941
ML00478,P0130,Cleaning,2024-06-17,883
ML00479,P0487,Structural,2023-03-28,3083
ML00480,P0322,Cleaning,2023-11-25,1944
ML00481,P0285,Structural,2024-05-02,2093
ML00482,P0351,Plumbing,2023-12-03,2148
ML00483,P0162,Plumbing,2024-06-26,3004
ML00484,P0276,Cleaning,2023-03-01,1410
ML00485,P0500,Electrical,2023-03-03,262
ML00486,P0146,Electrical,2022-12-01,3291
ML00487,P0168,Electrical,2023-09-19,440
ML00488,P0179,Electrical,2022-11-11,3177
ML00489,P0140,Plumbing,2024-04-26,1640
ML00490,P0378,Electrical,2024-06-03,2442
ML00491,P0224,Cleaning,2024-06-11,4066
ML00492,P0133,Structural,2022-11-24,1793
ML00493,P0495,Cleaning,2024-04-08,3747
ML00494,P0046,Plumbing,2024-10-23,3467
ML00495,P0415,Plumbing,2022-11-02,1483
ML00496,P0074,Electrical,2023-01-08,758
ML00497,P0016,Electrical,2024-02-10,4013
ML00498,P0097,Electrical,2024-05-11,2841
ML00499,P0353,Structural,2024-04-19,331
ML00500,P0181,Structural,2023-08-20,4611
ML00501,P0417,Electrical,2024-07-14,2808
ML00502,P0081,Cleaning,2023-04-26,1697
ML00503,P0256,Plumbing,2023-08-20,403
ML00504,P0459,Structural,2024-06-25,1376
ML00505,P0180,Electrical,2024-09-17,2042
ML00506,P0338,Cleaning,2022-11-27,4700
ML00507,P0148,Electrical,2023-02-07,1143
ML00508,P0163,Structural,2022-12-31,2108
ML00509,P0058,Plumbing,2024-04-16,804
ML00510,P0349,Structural,2024-01-23,3193
ML00511,P0407,Plumbing,2024-06-15,4792
ML00512,P0403,Structural,2024-03-28,3428
ML00513,P0449,Structural,2024-08-10,2600
ML00514,P0274,Cleaning,2024-04-04,3521
ML00515,P0193,Electrical,2024-08-28,2367
ML00516,P0375,Plumbing,2024-10-01,3042
ML00517,P0231,Plumbing,2023-02-17,3821
ML00518,P0245,Cleaning,2024-03-22,604
ML00519,P0313,Plumbing,2023-04-20,629
ML00520,P0230,Cleaning,2022-10-28,1391
ML00521,P0250,Cleaning,2023-10-26,4349
ML00522,P0013,Structural,2023-05-31,2384
ML00523,P0346,Structural,2024-07-02,1039
ML00524,P0110,Plumbing,2023-03-11,1846
ML00525,P0286,Plumbing,2024-03-02,1571
ML00526,P0346,Cleaning,2024-08-29,1225
ML00527,P0398,Cleaning,2024-09-10,3640
ML00528,P0213,Electrical,2023-09-16,675
ML00529,P0141,Cleaning,2024-09-18,1625
ML00530,P0014,Plumbing,2023-04-06,369
ML00531,P0014,Structural,2023-05-12,1564
ML00532,P0179,Structural,2023-01-22,1137
ML00533,P0047,Plumbing,2022-12-22,627
ML00534,P0152,Structural,2023-10-01,3291
ML00535,P0082,Electrical,2023-08-27,1214
ML00536,P0155,Cleaning,2024-06-23,2024
ML00537,P0201,Cleaning,2023-07-25,2144
ML00538,P0109,Structural,2022-12-19,2700
ML00539,P0040,Plumbing,2023-02-18,1985
ML00540,P0442,Plumbing,2023-08-05,402
ML00541,P0455,Structural,2024-10-25,4541
ML00542,P0230,Electrical,2024-10-14,1034
ML00543,P0474,Cleaning,2023-06-24,2989
ML00544,P0430,Cleaning,2023-02-03,4761
ML00545,P0262,Structural,2023-01-25,3280
ML00546,P0251,Plumbing,2024-04-10,1000
ML00547,P0317,Cleaning,2023-11-01,332
ML00548,P0069,Cleaning,2023-08-06,4770
ML00549,P0490,Cleaning,2023-04-09,424
ML00550,P0310,Structural,2024-03-10,3754
ML00551,P0202,Structural,2023-05-02,4996
ML00552,P0466,Electrical,2023-08-26,1673
ML00553,P0006,Plumbing,2023-09-27,2149
ML00554,P0228,Cleaning,2023-04-06,3811
ML00555,P0478,Cleaning,2023-08-11,713
ML00556,P0132,Structural,2024-07-21,170
ML00557,P0179,Structural,2023-10-09,3342
ML00558,P0061,Cleaning,2024-03-24,3237
ML00559,P0358,Cleaning,2024-06-21,4882
ML00560,P0220,Electrical,2023-09-23,1507
ML00561,P0031,Structural,2024-09-27,3636
ML00562,P0477,Structural,2023-05-30,544
ML00563,P0477,Cleaning,2023-01-07,4254
ML00564,P0392,Cleaning,2023-01-25,1851
ML00565,P0267,Plumbing,2024-09-27,1831
ML00566,P0413,Structural,2024-10-24,3940
ML00567,P0460,Cleaning,2023-12-22,4629
ML00568,P0367,Structural,2024-06-10,1779
ML00569,P0229,Cleaning,2023-03-17,3957
ML00570,P0340,Structural,2024-04-12,871
ML00571,P0186,Plumbing,2024-08-26,2363
ML00572,P0394,Electrical,2023-06-25,2483
ML00573,P0226,Electrical,2023-09-17,3773
ML00574,P0095,Structural,2023-01-24,3980
ML00575,P0168,Plumbing,2023-10-12,3792
ML00576,P0460,Structural,2024-05-09,1977
ML00577,P0032,Electrical,2024-07-25,4477
ML00578,P0485,Structural,2024-06-28,3228
